region,state,cd,unique_id,age_group,race,educ,sex,election_efficacy,target_binary
South,OK,OK-04,140001,50-54,Hispanic,BA/BS,Male,Some,0
West,ID,ID-02,140002,40-44,Asian,Some College,Female,Not much,0
South,VA,VA-02,140003,40-44,White,Some College,Female,Some,0
West,CA,CA-21,140004,45-49,Asian,Some College,Male,Some,0
West,CO,CO-04,140005,80 plus,White,Postgrad,Male,Not much,0
South,TX,TX-05,140006,75-79,White,Some College,Female,Some,0
Midwest,WI,WI-06,140007,40-44,White,Some College,Female,Not much,0
South,MS,MS-04,140008,45-49,White,Some College,Female,Not much,0
West,CA,CA-42,140010,45-49,Hispanic,HS or less,Male,Not much,0
South,MD,MD-04,140011,40-44,Hispanic,HS or less,Female,Some,0
Midwest,WI,WI-05,140012,55-59,White,HS or less,Male,A good deal,1
West,OR,OR-04,140013,30-34,White,HS or less,Female,Some,0
South,VA,VA-11,140014,40-44,Asian,Postgrad,Male,A good deal,1
Northeast,MA,MA-05,140017,55-59,White,BA/BS,Male,Some,0
Northeast,NH,NH-01,140018,55-59,White,BA/BS,Male,A good deal,1
West,NV,NV-01,140019,65-69,White,BA/BS,Female,Some,0
Northeast,PA,PA-15,140021,35-39,Hispanic,BA/BS,Male,Some,0
Northeast,NY,NY-10,140023,25-29,White,Postgrad,Male,Some,0
South,GA,GA-09,140026,75-79,White,BA/BS,Male,Some,0
South,NC,NC-03,140027,75-79,White,HS or less,Female,A good deal,1
South,VA,VA-11,140028,50-54,White,BA/BS,Male,Not much,0
Northeast,NY,NY-19,140029,70-74,White,Postgrad,Male,Some,0
West,AZ,AZ-02,140030,45-49,Hispanic,HS or less,Male,Some,0
West,CO,CO-05,140032,45-49,White,HS or less,Male,Not much,0
West,ID,ID-02,140033,50-54,White,Postgrad,Female,A good deal,1
Midwest,WI,WI-01,140034,70-74,White,BA/BS,Male,Some,0
Northeast,NY,NY-25,140035,60-64,White,Postgrad,Female,Some,0
Midwest,IL,IL-01,140037,75-79,Black,Some College,Female,Some,0
Midwest,OH,OH-03,140038,30-34,White,Postgrad,Female,A good deal,1
South,AR,AR-03,140039,75-79,White,Postgrad,Female,Some,0
South,GA,GA-11,140040,75-79,White,BA/BS,Male,Some,0
South,TX,TX-26,140041,40-44,White,BA/BS,Female,Some,0
West,NM,NM-01,140043,50-54,White,Postgrad,Male,Not much,0
Midwest,KS,KS-04,140044,55-59,White,BA/BS,Female,Some,0
Midwest,MN,MN-04,140048,40-44,White,BA/BS,Male,Some,0
West,CA,CA-31,140049,45-49,Asian,BA/BS,Female,A good deal,1
Midwest,MO,MO-02,140050,70-74,White,Postgrad,Male,A good deal,1
South,KY,KY-05,140053,65-69,Other,HS or less,Male,Not much,0
South,GA,GA-09,140055,65-69,White,Postgrad,Female,Some,0
Northeast,NY,NY-03,140056,50-54,White,Postgrad,Male,Some,0
Midwest,OH,OH-12,140057,50-54,White,HS or less,Male,Not much,0
South,TX,TX-17,140058,55-59,White,HS or less,Male,Some,0
West,MT,MT-02,140060,40-44,White,Postgrad,Female,Not much,0
South,LA,LA-02,140062,40-44,White,Postgrad,Female,Some,0
Northeast,NJ,NJ-05,140063,40-44,White,BA/BS,Male,Some,0
West,CA,CA-13,140065,50-54,White,Some College,Male,Some,0
West,CA,CA-49,140066,80 plus,White,Postgrad,Female,A good deal,1
West,CO,CO-02,140067,40-44,White,Postgrad,Female,A good deal,1
Midwest,IL,IL-13,140068,35-39,Black,Postgrad,Female,Not much,0
Midwest,MN,MN-07,140070,65-69,White,Some College,Female,Some,0
Northeast,PA,PA-16,140072,60-64,White,HS or less,Female,Some,0
Northeast,PA,PA-14,140073,40-44,White,Some College,Male,Some,0
South,FL,FL-21,140074,25-29,Black,BA/BS,Male,Some,0
Northeast,PA,PA-01,140076,80 plus,White,Postgrad,Male,A good deal,1
South,FL,FL-25,140077,70-74,White,Some College,Male,A good deal,1
South,TX,TX-29,140078,70-74,Hispanic,HS or less,Female,Some,0
South,OK,OK-03,140079,75-79,White,BA/BS,Male,Not much,0
South,DE,DE-00,140081,45-49,White,BA/BS,Female,Some,0
DC,DC,DC-98,140082,45-49,Black,Some College,Female,Some,0
Midwest,IN,IN-07,140083,45-49,White,BA/BS,Female,Some,0
West,NV,NV-03,140084,50-54,Hispanic,Some College,Female,A good deal,1
South,FL,FL-14,140085,40-44,White,Postgrad,Female,Some,0
South,WV,WV-02,140086,35-39,White,BA/BS,Female,Some,0
Northeast,MA,MA-04,140087,55-59,White,HS or less,Female,Not much,0
Midwest,OH,OH-01,140088,30-34,White,BA/BS,Female,Not much,0
South,VA,VA-03,140089,35-39,White,Postgrad,Female,Some,0
West,AZ,AZ-05,140090,25-29,White,Postgrad,Female,Some,0
Midwest,OH,OH-13,140092,75-79,White,HS or less,Male,Some,0
Midwest,MI,MI-01,140093,65-69,White,BA/BS,Male,Some,0
South,TX,TX-03,140094,80 plus,White,Postgrad,Female,Some,0
Northeast,MA,MA-06,140095,60-64,White,Some College,Male,Some,0
South,GA,GA-06,140096,50-54,Hispanic,Some College,Female,Some,0
South,SC,SC-01,140097,80 plus,White,BA/BS,Female,A good deal,1
West,WA,WA-06,140098,80 plus,White,Some College,Female,Not much,0
West,CA,CA-28,140101,45-49,White,Postgrad,Female,Some,0
West,ID,ID-02,140102,40-44,White,Some College,Female,Some,0
Midwest,IN,IN-05,140103,40-44,White,Some College,Male,Some,0
Northeast,PA,PA-04,140108,60-64,White,Some College,Female,Not much,0
West,CA,CA-48,140110,80 plus,Asian,Postgrad,Male,Not much,0
Midwest,OH,OH-06,140112,75-79,White,Some College,Male,Not much,0
Midwest,IL,IL-03,140113,60-64,White,Postgrad,Male,Not much,0
Northeast,MA,MA-06,140114,40-44,Hispanic,Postgrad,Female,Some,0
South,NC,NC-03,140115,65-69,Black,Some College,Female,A good deal,1
