cd,estimate,sd,q025,q975,pop
AK-00,0.7222374,0.018022664,0.68863755,0.7595866,771777.0
AL-01,0.6953446,0.016008569,0.6588729,0.72342485,760354.0
AL-02,0.67414814,0.019093813,0.63129026,0.7076225,703340.0
AL-03,0.6903317,0.016134765,0.65361303,0.718484,737627.0
AL-04,0.69410384,0.016236238,0.6572529,0.72246855,735273.0
AL-05,0.70365953,0.015611538,0.6681858,0.7307587,773839.0
AL-06,0.70871645,0.015579557,0.6735339,0.7356632,728180.0
AL-07,0.6749404,0.019083604,0.63234955,0.70833653,718917.0
AR-01,0.69004315,0.016701471,0.6519684,0.71851665,762586.0
AR-02,0.6983868,0.016254252,0.6608913,0.7260025,773170.0
AR-03,0.6979509,0.017025989,0.65994084,0.72689193,820072.0
AR-04,0.6877379,0.016785717,0.64965504,0.71643096,756295.0
AZ-01,0.74971604,0.013900355,0.7230018,0.7783457,819917.0
AZ-02,0.72185826,0.016236357,0.6902968,0.7543339,903804.0
AZ-03,0.6797578,0.01950709,0.64237654,0.7186727,835284.0
AZ-04,0.72688097,0.015040475,0.6973115,0.7575382,795543.0
AZ-05,0.7261845,0.015456028,0.69599634,0.75765723,902045.0
AZ-06,0.73272526,0.01472204,0.70407474,0.7629747,834008.0
AZ-07,0.69521964,0.018287703,0.66041344,0.7319298,813344.0
AZ-08,0.72351253,0.015067163,0.69414246,0.75417763,815907.0
AZ-09,0.7064347,0.016132947,0.6747372,0.73947364,915801.0
CA-01,0.7083536,0.014578746,0.6787172,0.7366253,759313.0
CA-02,0.7344021,0.013251043,0.7072623,0.7598868,753545.0
CA-03,0.73543495,0.013325148,0.7079402,0.7611037,807237.0
CA-04,0.7196003,0.01411137,0.6909785,0.7465586,763739.0
CA-05,0.716441,0.014155162,0.68765545,0.74337727,772856.0
CA-06,0.7110836,0.014555419,0.68120044,0.7390572,761736.0
CA-07,0.71210873,0.015256228,0.68143326,0.741166,765977.0
CA-08,0.70107526,0.015600264,0.66976434,0.7312731,750632.0
CA-09,0.69333506,0.016422357,0.6605721,0.7252218,784684.0
CA-10,0.7412149,0.013842242,0.71347517,0.7673298,773752.0
CA-11,0.75161386,0.013953,0.7231995,0.77828455,731933.0
CA-12,0.73195994,0.0140142245,0.7034621,0.7591692,758276.0
CA-13,0.68047976,0.018690817,0.6437807,0.71682787,805411.0
CA-14,0.7263448,0.01601867,0.69381434,0.7567764,728910.0
CA-15,0.73320645,0.015391993,0.7019712,0.7627444,723610.0
CA-16,0.75281674,0.01410456,0.72427136,0.77973783,751903.0
CA-17,0.7476706,0.01740469,0.7117941,0.78092045,763050.0
CA-18,0.6849818,0.01807784,0.6492074,0.72082204,766446.0
CA-19,0.7380368,0.013549293,0.71077317,0.7637493,741670.0
CA-20,0.7061663,0.01534889,0.6750628,0.7356524,816301.0
CA-21,0.6840536,0.018548457,0.6473999,0.72032845,781030.0
CA-22,0.67683923,0.0195138,0.6384712,0.7155375,801190.0
CA-23,0.69589007,0.016061742,0.66357607,0.72700715,758159.0
CA-24,0.72190666,0.014395094,0.6930969,0.7496113,759754.0
CA-25,0.68913466,0.017954763,0.65343165,0.724653,792547.0
CA-26,0.71694636,0.014953059,0.686926,0.7460505,752072.0
CA-27,0.70221233,0.015862208,0.6702661,0.7329994,748947.0
CA-28,0.7299777,0.015623586,0.6981689,0.7595772,750473.0
CA-29,0.68523407,0.017622046,0.65022486,0.7200006,724188.0
CA-30,0.7405449,0.012831804,0.7143454,0.76476,742465.0
CA-31,0.6924298,0.017548766,0.65749854,0.7269168,724902.0
CA-32,0.73923355,0.01318051,0.7123566,0.7643528,763383.0
CA-33,0.6829687,0.018087147,0.64705026,0.71846056,783085.0
CA-34,0.68705446,0.017911324,0.65145785,0.7221797,757957.0
CA-35,0.6858315,0.017907383,0.6503724,0.7211619,764991.0
CA-36,0.75944436,0.012610598,0.73396516,0.78369623,755979.0
