state,estimate,sd,q025,q975,pop
AK,0.72223747,0.01802266,0.68863755,0.7595864,771777.0
AL,0.6918522,0.016290268,0.654899,0.72010213,5157530.0
AR,0.69363916,0.016466117,0.6560182,0.7216493,3112123.0
AZ,0.717955,0.015673544,0.68728954,0.74996465,7635653.0
CA,0.71274716,0.01508308,0.6824306,0.7417634,39511040.0
CO,0.73450106,0.014966739,0.70369536,0.7649656,5959420.0
CT,0.72006243,0.016470952,0.6831144,0.7500384,3675282.0
DC,0.73567486,0.02400905,0.68408,0.7817462,702518.0
DE,0.7068994,0.015503958,0.6747315,0.7375726,1051959.0
FL,0.7095654,0.0140475705,0.68055344,0.7368373,23383670.0
GA,0.6962073,0.0154207405,0.6628943,0.7237208,11180953.0
HI,0.7250459,0.020139568,0.68575585,0.76527303,1623349.0
IA,0.7202195,0.015852725,0.6864115,0.7504719,3241275.0
ID,0.71913826,0.016717909,0.68565464,0.75306314,2001731.0
IL,0.72463804,0.015048297,0.6971479,0.7573611,12710363.0
IN,0.7081551,0.015466184,0.6758668,0.7381632,6924042.0
KS,0.72178656,0.015728235,0.6887278,0.7521455,2970525.0
KY,0.70142686,0.015462349,0.66761786,0.7305035,4633683.0
LA,0.6860232,0.017249487,0.6481653,0.717569,4597579.0
MA,0.7315432,0.015455756,0.6989466,0.7617122,7139334.0
MD,0.71639675,0.01548919,0.6881671,0.75034136,6263058.0
ME,0.7259225,0.016366659,0.6913376,0.75835145,1404894.0
MI,0.71959406,0.014664165,0.6913247,0.75040597,10140508.0
MN,0.7275516,0.0151509,0.6961372,0.75643593,5795179.0
MO,0.71373785,0.015510255,0.67925507,0.7427021,6250552.0
MS,0.68815285,0.016722633,0.65310675,0.7206061,2942933.0
MT,0.7295112,0.016016481,0.6971923,0.76122564,1137721.0
NC,0.7082128,0.014516397,0.6766554,0.73585635,11046000.0
ND,0.7308768,0.015579588,0.7005288,0.7633302,796604.0
NE,0.7217754,0.016681971,0.6870982,0.7528815,2005729.0
NH,0.73406935,0.016667444,0.7026892,0.76934445,1409424.0
NJ,0.7229515,0.016225604,0.6906281,0.75546086,9500729.0
NM,0.71010745,0.017988075,0.67403483,0.7452787,2165227.0
NV,0.70160395,0.01732577,0.667468,0.73725134,3270459.0
NY,0.71751475,0.015509518,0.68446904,0.74738944,19871348.0
OH,0.7187195,0.01583012,0.6901936,0.753449,11926955.0
OK,0.7044468,0.015860317,0.6715109,0.73422015,4099977.0
OR,0.7289939,0.015064692,0.70069635,0.7604864,4274326.0
PA,0.71474445,0.0154497605,0.6836171,0.7454752,13164381.0
RI,0.71752846,0.016852628,0.6808526,0.74876595,1113473.0
SC,0.702735,0.015181876,0.6706465,0.73230535,5478680.0
SD,0.72414714,0.016204678,0.6901269,0.75475377,924668.0
TN,0.7015883,0.014968457,0.6693398,0.7298817,7236086.0
TX,0.70179933,0.014437922,0.67264986,0.72922844,31340704.0
UT,0.72117084,0.016517438,0.6871671,0.7534933,3504190.0
VA,0.7199409,0.014863113,0.69158864,0.7516113,8817822.0
VT,0.7387259,0.016158154,0.70607126,0.77238166,648585.0
WA,0.7280048,0.015444297,0.6982462,0.761242,7965494.0
WI,0.72248614,0.014794952,0.6933149,0.7521081,5961250.0
WV,0.7028789,0.016448358,0.66903406,0.7357972,1792514.0
WY,0.7206118,0.016474048,0.6878893,0.7532503,588050.0
