cd,estimate,sd,q025,q975,pop
AK-00,0.18211001,0.018226808,0.14771152,0.22215521,771777.0
AL-01,0.17132916,0.014862208,0.14061925,0.20016114,760354.0
AL-02,0.20424184,0.018305438,0.16724442,0.24083908,703340.0
AL-03,0.17331569,0.014984127,0.14233153,0.20238137,737627.0
AL-04,0.16347538,0.014576002,0.1334273,0.19144255,735273.0
AL-05,0.17464225,0.01499204,0.14365824,0.2034009,773839.0
AL-06,0.17358288,0.015018325,0.14239551,0.2024121,728180.0
AL-07,0.20473395,0.01834075,0.16766702,0.24169795,718917.0
AR-01,0.16911139,0.014776409,0.13720703,0.19837648,762586.0
AR-02,0.1763818,0.015067586,0.14385132,0.2062449,773170.0
AR-03,0.17463155,0.015500698,0.14254893,0.20558472,820072.0
AR-04,0.17572603,0.015152821,0.14292751,0.2057919,756295.0
AZ-01,0.18595183,0.015575549,0.15626828,0.21896291,819917.0
AZ-02,0.18151183,0.01640202,0.15105453,0.21633734,903804.0
AZ-03,0.23325036,0.021483233,0.19293308,0.27741957,835284.0
AZ-04,0.19824034,0.016521664,0.16691937,0.23325597,795543.0
AZ-05,0.19172244,0.016364941,0.16071782,0.22601245,902045.0
AZ-06,0.19009717,0.01602612,0.15970613,0.22378181,834008.0
AZ-07,0.22067757,0.020157767,0.18259536,0.26192072,813344.0
AZ-08,0.19176394,0.016077442,0.16160247,0.22559412,815907.0
AZ-09,0.19656053,0.016886678,0.16480944,0.23232213,915801.0
CA-01,0.19180539,0.013591764,0.165599,0.21993406,759313.0
CA-02,0.18433218,0.012893056,0.15960154,0.21076165,753545.0
CA-03,0.18602568,0.012942067,0.16084236,0.21283276,807237.0
CA-04,0.20449951,0.014200875,0.17691506,0.2335431,763739.0
CA-05,0.19435477,0.013617524,0.16784607,0.2224571,772856.0
CA-06,0.21142493,0.014636208,0.18270193,0.241621,761736.0
CA-07,0.23580357,0.016832065,0.20337479,0.2705655,765977.0
CA-08,0.23686936,0.016646566,0.20444931,0.27111378,750632.0
CA-09,0.23592421,0.017103313,0.20274286,0.2709241,784684.0
CA-10,0.22134347,0.015759593,0.19104424,0.25369838,773752.0
CA-11,0.23116067,0.017267821,0.19843261,0.2663378,731933.0
CA-12,0.22923441,0.015821246,0.19848914,0.26207504,758276.0
CA-13,0.23195516,0.018770216,0.19587754,0.2713295,805411.0
CA-14,0.25724357,0.020350667,0.21865441,0.29916862,728910.0
CA-15,0.24845968,0.019207804,0.21175788,0.28791553,723610.0
CA-16,0.23450387,0.017772842,0.20066008,0.27148223,751903.0
CA-17,0.27632383,0.025043484,0.22964272,0.32687145,763050.0
CA-18,0.23850976,0.018578501,0.20293257,0.2765965,766446.0
