state,estimate,sd,q025,q975,pop
AK,0.18211001,0.018226806,0.14771149,0.22215521,771777.0
AL,0.18045394,0.015524134,0.1482636,0.2105268,5157530.0
AR,0.1739797,0.014960252,0.14172524,0.20368668,3112123.0
AZ,0.19860774,0.01690365,0.16632567,0.2342347,7635653.0
CA,0.22614811,0.015939156,0.19526707,0.2584297,39511040.0
CO,0.19146055,0.016110621,0.16244233,0.22778647,5959420.0
CT,0.19025868,0.016376339,0.15860164,0.22480105,3675282.0
DC,0.2198692,0.030809356,0.16489355,0.29360244,702518.0
DE,0.18923244,0.016664399,0.15523602,0.22389625,1051959.0
FL,0.19660988,0.014841141,0.16993712,0.22936921,23383670.0
GA,0.19857818,0.015467158,0.16872725,0.2299116,11180953.0
HI,0.24035674,0.024102993,0.19424352,0.28977004,1623349.0
IA,0.17814606,0.015457931,0.15009966,0.21187237,3241275.0
ID,0.17299576,0.016173648,0.14018372,0.20707548,2001731.0
IL,0.20935236,0.016774077,0.18061468,0.24773782,12710363.0
IN,0.18342964,0.015194956,0.1540927,0.21484554,6924042.0
KS,0.18301526,0.016020846,0.15070371,0.21566586,2970525.0
KY,0.16160227,0.014708104,0.12927969,0.18827203,4633683.0
LA,0.18862514,0.01661694,0.15413104,0.2217362,4597579.0
MA,0.19027922,0.016468547,0.15955018,0.2263456,7139334.0
MD,0.19818917,0.016103115,0.16234767,0.22814131,6263058.0
ME,0.15991656,0.015487729,0.12912588,0.19093265,1404894.0
MI,0.18927014,0.014926245,0.16268826,0.22075911,10140508.0
MN,0.18352397,0.015398245,0.15322776,0.21604447,5795179.0
MO,0.18095179,0.014728229,0.15217264,0.21057554,6250552.0
MS,0.18954624,0.016563501,0.15624894,0.22251515,2942933.0
MT,0.16664445,0.016244918,0.13760908,0.20459318,1137721.0
NC,0.18750735,0.014832548,0.1595135,0.21949244,11046000.0
ND,0.17249268,0.015655404,0.14234678,0.20542952,796604.0
NE,0.18342829,0.016904797,0.15134516,0.21907847,2005729.0
NH,0.16402918,0.016011197,0.1317324,0.19707954,1409424.0
NJ,0.21332523,0.018941615,0.18008941,0.25732565,9500729.0
NM,0.20537123,0.01922265,0.16697408,0.24357955,2165227.0
NV,0.21329916,0.018915357,0.17713629,0.25487927,3270459.0
NY,0.19455099,0.017445441,0.15598036,0.22608837,19871348.0
OH,0.17885712,0.0151319895,0.1465359,0.20808855,11926955.0
OK,0.17217962,0.015406664,0.13955016,0.20218013,4099977.0
OR,0.18135284,0.015051447,0.15177478,0.21244797,4274326.0
PA,0.1837274,0.015024866,0.15584527,0.21610464,13164381.0
RI,0.18299201,0.017183486,0.14824763,0.21961613,1113473.0
SC,0.18421869,0.014931902,0.15531062,0.21587081,5478680.0
SD,0.17195903,0.01605149,0.1414344,0.20594428,924668.0
TN,0.17243166,0.014459792,0.1410865,0.20005053,7236086.0
TX,0.20970728,0.015182514,0.18185984,0.2413798,31340704.0
UT,0.1835116,0.016894966,0.15370834,0.22194123,3504190.0
VA,0.18668781,0.014882757,0.15449826,0.2147599,8817822.0
VT,0.16140383,0.01620368,0.12990393,0.1969256,648585.0
WA,0.19803365,0.016721126,0.16848662,0.23549487,7965494.0
WI,0.19013925,0.018249474,0.16297637,0.2357988,5961250.0
WV,0.15359302,0.015328379,0.11985737,0.18147033,1792514.0
WY,0.17206354,0.016649477,0.14213686,0.20930202,588050.0
