cd,estimate,sd,q025,q975,pop
AK-00,0.78296185,0.033474687,0.7129336,0.84682935,771777.0
AL-01,0.82130444,0.022939846,0.77339417,0.8653873,760354.0
AL-02,0.7832306,0.027265778,0.7260985,0.83540106,703340.0
AL-03,0.81976676,0.023081763,0.7720791,0.86395645,737627.0
AL-04,0.83422536,0.021862589,0.78868616,0.876427,735273.0
AL-05,0.81346744,0.0235027,0.76513606,0.85877466,773839.0
AL-06,0.8105932,0.02389459,0.7610045,0.8566001,728180.0
AL-07,0.7783624,0.027579743,0.72049624,0.8310303,718917.0
AR-01,0.84488136,0.024416879,0.79989046,0.8944656,762586.0
AR-02,0.83268106,0.025617527,0.7860223,0.8841786,773170.0
AR-03,0.85416704,0.023306036,0.81126535,0.9008673,820072.0
AR-04,0.8381374,0.025151487,0.79187846,0.88894993,756295.0
AZ-01,0.73868775,0.028081125,0.6811422,0.7939023,819917.0
AZ-02,0.76749986,0.026575223,0.71172404,0.81910145,903804.0
AZ-03,0.764321,0.02846067,0.70549864,0.81796,835284.0
AZ-04,0.75924486,0.026760982,0.7037291,0.81199884,795543.0
AZ-05,0.76509285,0.026542876,0.7101629,0.81693107,902045.0
AZ-06,0.74584407,0.027667629,0.6890498,0.80031466,834008.0
AZ-07,0.7591515,0.028380584,0.7005043,0.81343204,813344.0
AZ-08,0.75851923,0.026872259,0.7031004,0.81131566,815907.0
AZ-09,0.76631594,0.026715642,0.71065986,0.8184522,915801.0
CA-01,0.7913738,0.016972896,0.7575373,0.8236144,759313.0
CA-02,0.7667264,0.01778764,0.7314618,0.80105275,753545.0
CA-03,0.7736611,0.01748533,0.7394362,0.8070561,807237.0
CA-04,0.7709934,0.017673519,0.73597354,0.8050055,763739.0
CA-05,0.7781403,0.017407065,0.7432349,0.81144834,772856.0
CA-06,0.7801541,0.01738642,0.7456773,0.8131798,761736.0
CA-07,0.76945543,0.018403621,0.7323928,0.8044407,765977.0
CA-08,0.76427346,0.018587193,0.72690976,0.799426,750632.0
CA-09,0.78113705,0.01826654,0.7446238,0.81558853,784684.0
CA-10,0.7591022,0.018700361,0.7219454,0.79507095,773752.0
CA-11,0.7555568,0.019628288,0.71586317,0.7927902,731933.0
CA-12,0.74633527,0.01896387,0.7088378,0.7827308,758276.0
CA-13,0.7886199,0.019333974,0.749537,0.82510865,805411.0
