state,estimate,sd,q025,q975,pop
AK,0.78296185,0.0334747,0.7129337,0.8468292,771777.0
AL,0.8090609,0.02406955,0.75891197,0.85516435,5157530.0
AR,0.8426592,0.024538184,0.7978238,0.89211726,3112123.0
AZ,0.7585583,0.027068878,0.70224357,0.8112706,7635653.0
CA,0.76906985,0.01821078,0.73324704,0.80366135,39511040.0
CO,0.7465485,0.027070668,0.68624485,0.7953023,5959420.0
CT,0.77735496,0.025760088,0.72543156,0.8272996,3675282.0
DC,0.6941377,0.055610657,0.5708996,0.79072124,702518.0
DE,0.79416424,0.030561483,0.7284322,0.8529746,1051959.0
FL,0.7836362,0.019699909,0.7415681,0.8193067,23383670.0
GA,0.7860009,0.02225426,0.7396703,0.8265441,11180953.0
HI,0.76553386,0.036078684,0.6886818,0.83289677,1623349.0
IA,0.7769563,0.027023233,0.7184724,0.82616085,3241275.0
ID,0.76608014,0.032349918,0.69361055,0.8223327,2001731.0
IL,0.7336456,0.025139812,0.68056786,0.77878803,12710363.0
IN,0.79154783,0.023298124,0.74607456,0.83831644,6924042.0
KS,0.7951736,0.027536651,0.74334496,0.8509032,2970525.0
KY,0.83014524,0.02222602,0.7825572,0.87290084,4633683.0
LA,0.8119647,0.026077114,0.7612919,0.8654961,4597579.0
MA,0.7740586,0.025139581,0.7236909,0.82245356,7139334.0
MD,0.76596737,0.025617763,0.71055424,0.81128657,6263058.0
ME,0.7866155,0.031104628,0.7197823,0.84440285,1404894.0
MI,0.77879405,0.021719594,0.73544747,0.82057196,10140508.0
MN,0.72938776,0.034129936,0.6545232,0.78579783,5795179.0
MO,0.7766991,0.022787873,0.7284889,0.8201627,6250552.0
MS,0.7781442,0.030944295,0.7066778,0.8288131,2942933.0
MT,0.766667,0.034097403,0.6917133,0.83098096,1137721.0
NC,0.7913988,0.02228476,0.743521,0.83203447,11046000.0
ND,0.8033598,0.030062785,0.74606675,0.86520636,796604.0
NE,0.77543116,0.032007128,0.70502996,0.8337828,2005729.0
NH,0.76348,0.036592845,0.67761636,0.82339126,1409424.0
NJ,0.7659681,0.025709704,0.7128243,0.8140632,9500729.0
NM,0.7535558,0.03205302,0.68729305,0.81425744,2165227.0
NV,0.75590193,0.032878228,0.6843957,0.8172001,3270459.0
NY,0.7589132,0.022750497,0.7125046,0.801363,19871348.0
OH,0.7959653,0.022586793,0.7532509,0.8420176,11926955.0
OK,0.8022914,0.02844728,0.7388966,0.84868187,4099977.0
OR,0.73825943,0.030627351,0.6717518,0.79044986,4274326.0
PA,0.79744065,0.021393368,0.7554629,0.83918256,13164381.0
RI,0.77288884,0.03419477,0.69755596,0.83403116,1113473.0
SC,0.82599396,0.024394654,0.7807455,0.8753948,5478680.0
SD,0.7941119,0.031031597,0.7308012,0.853811,924668.0
TN,0.83502537,0.021068765,0.79530454,0.87638664,7236086.0
TX,0.8151044,0.01630101,0.7830535,0.84676534,31340704.0
UT,0.77903515,0.028150298,0.71713084,0.82932657,3504190.0
VA,0.77840763,0.02481601,0.7244618,0.8204833,8817822.0
VT,0.77061045,0.035583895,0.68953395,0.8339738,648585.0
WA,0.7560572,0.026217539,0.6992128,0.80287766,7965494.0
WI,0.7648979,0.024539832,0.71269226,0.8101558,5961250.0
WV,0.8350394,0.026464945,0.78024244,0.8861066,1792514.0
WY,0.78134537,0.033227794,0.71165144,0.8456382,588050.0
