cd,estimate,sd,q025,q975,pop
AK-00,0.21641691,0.033971388,0.1508765,0.28789866,771777.0
AL-01,0.1783671,0.022310926,0.13427176,0.22446841,760354.0
AL-02,0.21663214,0.026525622,0.16545741,0.27073702,703340.0
AL-03,0.17992891,0.02240944,0.13578993,0.22542565,737627.0
AL-04,0.16540119,0.0212584,0.12346263,0.20977661,735273.0
AL-05,0.18621084,0.022855597,0.14111397,0.23305368,773839.0
AL-06,0.18907979,0.023243738,0.1436228,0.2362884,728180.0
AL-07,0.22151436,0.02682308,0.1697871,0.27635473,718917.0
AR-01,0.15536904,0.02406896,0.10561241,0.2000725,762586.0
AR-02,0.16762476,0.02524677,0.11547348,0.21399078,773170.0
AR-03,0.1460068,0.022958735,0.098888524,0.18853934,820072.0
AR-04,0.16214623,0.024789333,0.11084327,0.20813611,756295.0
AZ-01,0.2610595,0.027714994,0.20612372,0.3166748,819917.0
AZ-02,0.23221855,0.026085643,0.18151557,0.284256,903804.0
AZ-03,0.23557447,0.02827083,0.18161985,0.29348892,835284.0
AZ-04,0.24054143,0.02644438,0.18860127,0.29439497,795543.0
AZ-05,0.23469181,0.02622292,0.18377964,0.28801996,902045.0
AZ-06,0.25391158,0.027307298,0.19987734,0.30925623,834008.0
AZ-07,0.24066146,0.02816431,0.18600014,0.29785874,813344.0
AZ-08,0.24125353,0.02652365,0.18909317,0.29493147,815907.0
AZ-09,0.23347819,0.02636814,0.18164776,0.28685212,915801.0
CA-01,0.20902939,0.016801259,0.17600055,0.24220496,759313.0
CA-02,0.23368971,0.01757447,0.19917679,0.26794037,753545.0
CA-03,0.22674805,0.017263697,0.19257613,0.26081318,807237.0
CA-04,0.22944517,0.017468581,0.19530126,0.26378447,763739.0
CA-05,0.2222871,0.017223034,0.18836153,0.2564171,772856.0
CA-06,0.22031535,0.017188383,0.1865556,0.25416583,761736.0
CA-07,0.2310457,0.018157028,0.19555348,0.26631626,765977.0
CA-08,0.2362819,0.018408574,0.19995059,0.27217382,750632.0
CA-09,0.21935152,0.018115543,0.18395837,0.25496665,784684.0
CA-10,0.24136047,0.01839633,0.20512815,0.2778357,773752.0
CA-11,0.24490839,0.019144174,0.20742199,0.28315133,731933.0
CA-12,0.25421602,0.018661818,0.2171879,0.2908647,758276.0
CA-13,0.21183121,0.019270597,0.17541727,0.25097328,805411.0
CA-14,0.23634405,0.020125275,0.19732542,0.27643293,728910.0
CA-15,0.23872893,0.019644674,0.20053641,0.27779034,723610.0
CA-16,0.24567181,0.019450778,0.20766944,0.28426814,751903.0
CA-17,0.23832536,0.023001956,0.19466655,0.28519505,763050.0
CA-18,0.21834412,0.019080808,0.18187876,0.25660723,766446.0
CA-19,0.24009617,0.01804795,0.2048595,0.27546367,741670.0
CA-20,0.21549359,0.017434284,0.1816768,0.25013512,816301.0
CA-21,0.21660563,0.01947307,0.17931911,0.2560857,781030.0
CA-22,0.21193318,0.019925503,0.17403467,0.25286648,801190.0
CA-23,0.22230628,0.018191466,0.18691556,0.25839013,758159.0
CA-24,0.23297949,0.017859867,0.19807337,0.26831588,759754.0
CA-25,0.2276056,0.019747091,0.18981178,0.26755118,792547.0
CA-26,0.2314923,0.01804387,0.19659501,0.26709944,752072.0
CA-27,0.22943746,0.018316688,0.19390422,0.26542637,748947.0
CA-28,0.24699281,0.01997707,0.20809601,0.28647172,750473.0
CA-29,0.22371544,0.019080874,0.1871386,0.2621342,724188.0
CA-30,0.23821647,0.017483542,0.20404969,0.27270797,742465.0
CA-31,0.22835632,0.019446421,0.19128688,0.2670125,724902.0
CA-32,0.24371205,0.017852413,0.2084876,0.27883703,763383.0
CA-33,0.22462122,0.019452047,0.18716672,0.26359233,783085.0
CA-34,0.2292735,0.019561082,0.19169945,0.2687205,757957.0
CA-35,0.22443067,0.01929806,0.18762738,0.2629984,764991.0
CA-36,0.25201046,0.018329177,0.2157587,0.28764468,755979.0
CA-37,0.24440676,0.019596618,0.20636147,0.28348935,745172.0
CA-38,0.2359833,0.019908262,0.19789442,0.27548867,723153.0
CA-39,0.22574459,0.019393738,0.1883741,0.26443076,781393.0
CA-40,0.24039742,0.01808905,0.20479073,0.2761233,744040.0
CA-41,0.23176263,0.017953668,0.1969712,0.2671828,824261.0
CA-42,0.22717342,0.019418897,0.19002117,0.2662338,722832.0
CA-43,0.24297854,0.02014233,0.20392887,0.28317487,719904.0
CA-44,0.23639438,0.019519355,0.1987444,0.27498624,745315.0
CA-45,0.2305353,0.019986093,0.19178276,0.27026862,741955.0
CA-46,0.2183266,0.019221948,0.18165825,0.25689057,763482.0
CA-47,0.24107975,0.018536111,0.20472465,0.27758038,756374.0
CA-48,0.2214067,0.017271284,0.1876006,0.25527948,768427.0
CA-49,0.2382885,0.017688159,0.20345622,0.27286178,748742.0
CA-50,0.24575767,0.018013328,0.21022601,0.28099573,760799.0
CA-51,0.23406453,0.01758412,0.19954048,0.26895246,766663.0
CA-52,0.22974284,0.019304125,0.19303858,0.26802197,756424.0
CO-01,0.26542154,0.028336411,0.2135658,0.32583612,737571.0
CO-02,0.2678553,0.028176822,0.2158753,0.32723063,728480.0
CO-03,0.25020692,0.027421389,0.19986038,0.3084445,742989.0
CO-04,0.2497719,0.02722336,0.2000348,0.30792975,789556.0
CO-05,0.24724713,0.027098984,0.19755656,0.30534515,745429.0
CO-06,0.2622326,0.028169636,0.21047916,0.32221714,730105.0
CO-07,0.25835162,0.02759327,0.20781441,0.31672263,728169.0
CO-08,0.23653112,0.027201872,0.18733163,0.29569027,757121.0
CT-01,0.22513497,0.025650285,0.1770145,0.27752244,734982.0
CT-02,0.21132359,0.024475085,0.16490294,0.26062134,731322.0
CT-03,0.22576082,0.025614642,0.17749323,0.27778044,741632.0
CT-04,0.23242433,0.026329996,0.18250023,0.28569567,739349.0
CT-05,0.21965496,0.025193026,0.17223151,0.27053046,727997.0
DC-98,0.3073806,0.056980316,0.21039653,0.43072453,702518.0
DE-00,0.20578349,0.03076598,0.1477801,0.27486935,1051959.0
FL-01,0.1926968,0.018140366,0.15961859,0.2317469,818627.0
FL-02,0.2070796,0.019006088,0.17239958,0.24779098,819069.0
FL-03,0.20208944,0.0185739,0.16808145,0.24188778,845704.0
FL-04,0.21232241,0.019861188,0.17626342,0.25489235,842174.0
FL-05,0.21064942,0.019193325,0.1755531,0.2522723,852368.0
FL-06,0.20345068,0.018751597,0.16915357,0.24379998,834655.0
FL-07,0.20885132,0.019096535,0.1742366,0.24981524,813166.0
FL-08,0.21000311,0.01903231,0.17516087,0.2508696,831277.0
FL-09,0.21772327,0.021109287,0.17973611,0.26226646,909835.0
FL-10,0.2174864,0.020136686,0.18137518,0.2605622,802579.0
FL-11,0.21622607,0.019491974,0.18067436,0.25780067,893476.0
FL-12,0.19589105,0.018407729,0.1624155,0.23539102,871025.0
FL-13,0.20796289,0.018917453,0.1732878,0.24849443,762922.0
FL-14,0.2189785,0.019884102,0.18294655,0.26179352,826754.0
FL-15,0.20770599,0.019246776,0.1729808,0.24876831,835432.0
FL-16,0.21095265,0.01926033,0.17593074,0.25199184,882634.0
FL-17,0.21266697,0.019341037,0.17716394,0.25418186,876680.0
FL-18,0.20269942,0.019222442,0.16769041,0.24367246,884254.0
FL-19,0.2203602,0.019789398,0.18401437,0.26288658,827867.0
FL-20,0.24223535,0.02279049,0.20045197,0.28969926,818464.0
FL-21,0.2194077,0.019636663,0.18377198,0.26153827,858841.0
FL-22,0.22787388,0.020447271,0.19060309,0.27162886,804325.0
FL-23,0.22684538,0.020123772,0.19005641,0.27017692,803072.0
FL-24,0.2437333,0.022551237,0.2028283,0.2909174,830140.0
FL-25,0.22795835,0.02127306,0.18943784,0.27332097,807005.0
FL-26,0.22451662,0.022970177,0.18294662,0.27433327,851023.0
FL-27,0.23988575,0.024057854,0.1967645,0.29209703,788663.0
FL-28,0.22635768,0.023343354,0.18464074,0.27661937,791639.0
GA-01,0.20365074,0.021069273,0.1649401,0.24820775,806527.0
GA-02,0.22608028,0.023730999,0.18224491,0.27568626,757237.0
GA-03,0.2011727,0.020878002,0.16278651,0.2453201,799779.0
GA-04,0.23823619,0.024311049,0.19294459,0.28888366,759723.0
GA-05,0.24308977,0.024301669,0.19767213,0.2936069,771919.0
GA-06,0.25169381,0.025031297,0.20462567,0.30362886,803622.0
GA-07,0.20804867,0.021764794,0.16780628,0.2534211,815664.0
GA-08,0.2033417,0.021445291,0.1639953,0.24897318,787859.0
GA-09,0.19532245,0.02062914,0.15734348,0.23849526,828867.0
GA-10,0.2017848,0.020896954,0.16336997,0.2459986,835723.0
GA-11,0.19878505,0.02073703,0.16040449,0.24235374,811649.0
GA-12,0.2100781,0.021955548,0.16958354,0.25606498,786389.0
GA-13,0.24168651,0.024713673,0.19568893,0.29262435,820455.0
GA-14,0.18538043,0.019894278,0.14884692,0.22733977,795540.0
HI-01,0.23882957,0.038052738,0.16832376,0.31891102,788658.0
HI-02,0.2280449,0.035192247,0.16173072,0.30453056,834691.0
IA-01,0.22322628,0.027760295,0.17321941,0.28465813,804653.0
IA-02,0.22207169,0.027735023,0.17203976,0.28354716,797275.0
IA-03,0.2267362,0.028145721,0.17578481,0.2885906,837847.0
IA-04,0.22028239,0.027759125,0.17046781,0.28147507,801500.0
ID-01,0.2320674,0.032693528,0.17529124,0.30722785,1033764.0
ID-02,0.2362647,0.032981016,0.17902242,0.31162086,967967.0
IL-01,0.3079975,0.028219607,0.25710803,0.36792886,735217.0
IL-02,0.3059575,0.028552486,0.25481638,0.36647132,732314.0
IL-03,0.26377198,0.026376698,0.21716635,0.32109535,732739.0
IL-04,0.26286376,0.028365193,0.21232526,0.3236718,712060.0
IL-05,0.27017334,0.025254313,0.22542225,0.3250669,773670.0
IL-06,0.26169896,0.024843836,0.21802692,0.3156284,764437.0
IL-07,0.30391625,0.02791369,0.2538382,0.36275882,761127.0
IL-08,0.25834742,0.025357546,0.2133839,0.3137193,752540.0
IL-09,0.27981827,0.025843661,0.23401046,0.33538377,740405.0
IL-10,0.2688374,0.025625538,0.2236243,0.32451463,749734.0
IL-11,0.26480302,0.025190959,0.22023636,0.31958947,766547.0
IL-12,0.2383626,0.023635698,0.19696648,0.28978515,745851.0
IL-13,0.2637953,0.02485043,0.22010437,0.3177526,741856.0
