state,estimate,sd,q025,q975,pop
AK,0.21641691,0.03397138,0.1508765,0.28789872,771777.0
AL,0.19066386,0.023390101,0.14444266,0.23793474,5157530.0
AR,0.15759346,0.024183473,0.10755177,0.20226727,3112123.0
AZ,0.24122755,0.026736956,0.18822286,0.2958214,7635653.0
CA,0.23141,0.018017517,0.19605808,0.2665544,39511040.0
CO,0.25455043,0.027535519,0.2041073,0.31333876,5959420.0
CT,0.22289374,0.025413442,0.17534105,0.27439156,3675282.0
DC,0.3073806,0.056980312,0.21039651,0.43072447,702518.0
DE,0.20578349,0.030765982,0.14778014,0.27486935,1051959.0
FL,0.2160797,0.019678175,0.18047531,0.258093,23383670.0
GA,0.21465033,0.021939855,0.17418437,0.2609271,11180953.0
HI,0.23328438,0.03636315,0.16491473,0.3125287,1623349.0
IA,0.2231215,0.027839677,0.1728458,0.28461826,3241275.0
ID,0.23409724,0.032828256,0.17705624,0.30939013,2001731.0
IL,0.26698676,0.025212837,0.22238131,0.32089835,12710363.0
IN,0.20847467,0.023331126,0.16295572,0.25435767,6924042.0
KS,0.2053729,0.027357923,0.14756,0.2571708,2970525.0
KY,0.16908978,0.021725131,0.12844312,0.21449882,4633683.0
LA,0.18759178,0.025881318,0.13733615,0.2400788,4597579.0
MA,0.2259895,0.024441097,0.17955059,0.27691832,7139334.0
MD,0.23407154,0.026065612,0.18884726,0.2907499,6263058.0
ME,0.21300901,0.031201594,0.15537065,0.28010443,1404894.0
MI,0.22151712,0.021501157,0.17987251,0.26379302,10140508.0
MN,0.2712398,0.034817576,0.21433863,0.34759462,5795179.0
MO,0.22387847,0.022374153,0.1814305,0.26951468,6250552.0
MS,0.2217507,0.030837536,0.16929431,0.2916571,2942933.0
MT,0.23344304,0.034495343,0.1707165,0.30722392,1137721.0
NC,0.20884904,0.022543352,0.16863546,0.25865304,11046000.0
ND,0.19648352,0.029945433,0.13402554,0.2523446,796604.0
NE,0.22549982,0.032040626,0.1659945,0.29583767,2005729.0
NH,0.23609018,0.035657045,0.17743953,0.31738713,1409424.0
NJ,0.23347026,0.02519959,0.18518811,0.2863476,9500729.0
NM,0.24603784,0.03215846,0.18569493,0.31201267,2165227.0
NV,0.24493632,0.033405356,0.18351795,0.31833637,3270459.0
NY,0.24097608,0.022266785,0.20003608,0.28758812,19871348.0
OH,0.20460854,0.0228266,0.15809318,0.24713455,11926955.0
OK,0.1984389,0.029642489,0.15278322,0.26792198,4099977.0
OR,0.2623884,0.030528037,0.21026014,0.32791257,4274326.0
PA,0.20214288,0.020921562,0.1607996,0.24365807,13164381.0
RI,0.22726974,0.03477727,0.16479254,0.30385232,1113473.0
SC,0.17385103,0.023713559,0.12561674,0.21810894,5478680.0
SD,0.2059267,0.031301096,0.14243323,0.26887983,924668.0
TN,0.16455634,0.021306217,0.12120825,0.20363757,7236086.0
TX,0.18457977,0.016242413,0.15277675,0.21655814,31340704.0
UT,0.22115394,0.027889743,0.16954932,0.28057584,3504190.0
VA,0.2216886,0.024978153,0.17941417,0.27706298,8817822.0
VT,0.22999209,0.03592745,0.16888228,0.31224412,648585.0
WA,0.24438873,0.026134353,0.19689159,0.300811,7965494.0
WI,0.23506632,0.024340916,0.19159532,0.28819558,5961250.0
WV,0.1650545,0.027059149,0.1130815,0.22303322,1792514.0
WY,0.21850498,0.034376953,0.1514017,0.29062012,588050.0
