cd,estimate,sd,q025,q975,pop
AK-00,0.806181,0.021310195,0.7624735,0.8475912,771777.0
AL-01,0.8135383,0.016746204,0.77790034,0.8454567,760354.0
AL-02,0.8001504,0.018529076,0.7610203,0.83489966,703340.0
AL-03,0.8101188,0.016831787,0.7741246,0.84204096,737627.0
AL-04,0.81156814,0.01706781,0.77537215,0.8434784,735273.0
AL-05,0.81497544,0.016514843,0.77961504,0.8465607,773839.0
AL-06,0.81646454,0.016547628,0.7810926,0.84790146,728180.0
AL-07,0.80098397,0.018291203,0.7622248,0.8353526,718917.0
AR-01,0.8086202,0.017696194,0.77291983,0.8436223,762586.0
AR-02,0.81159633,0.017230593,0.77679044,0.84525627,773170.0
AR-03,0.79960644,0.018588444,0.76245743,0.8365484,820072.0
AR-04,0.8084711,0.01766625,0.7729605,0.8431717,756295.0
AZ-01,0.8441087,0.01589694,0.8137874,0.8776365,819917.0
AZ-02,0.8267561,0.018550312,0.79122347,0.8647004,903804.0
AZ-03,0.7744423,0.023640033,0.72888684,0.8232443,835284.0
AZ-04,0.8203305,0.018010588,0.78556025,0.85866654,795543.0
AZ-05,0.821018,0.018559134,0.7853542,0.8594331,902045.0
AZ-06,0.83713263,0.016633982,0.80521834,0.8720366,834008.0
AZ-07,0.7976585,0.02122728,0.7569961,0.84121543,813344.0
AZ-08,0.8294261,0.01728509,0.79638153,0.86593103,815907.0
AZ-09,0.81532073,0.018844884,0.7792977,0.85441166,915801.0
CA-01,0.80843544,0.016214421,0.7744646,0.838844,759313.0
CA-02,0.8297397,0.014451293,0.79927,0.85667396,753545.0
CA-03,0.8297342,0.014675696,0.79850125,0.8572411,807237.0
CA-04,0.81467885,0.015557542,0.78182846,0.8441032,763739.0
CA-05,0.81748813,0.015473517,0.7846009,0.84648764,772856.0
CA-06,0.803313,0.016621584,0.7684812,0.83428395,761736.0
CA-07,0.8020331,0.017245514,0.7661537,0.8338323,765977.0
CA-08,0.7962041,0.017433893,0.7602926,0.8287625,750632.0
CA-09,0.78749627,0.018480405,0.74889857,0.82240915,784684.0
CA-10,0.82395774,0.015658963,0.79091316,0.85276467,773752.0
CA-11,0.82659805,0.015630351,0.79371774,0.8552913,731933.0
CA-12,0.81555015,0.015807897,0.782833,0.844456,758276.0
CA-13,0.77188474,0.020795036,0.72796553,0.8113393,805411.0
CA-14,0.8074488,0.018218685,0.76847804,0.8404255,728910.0
CA-15,0.8144273,0.017134683,0.7777062,0.84578925,723610.0
CA-16,0.828111,0.01592329,0.7940552,0.85706437,751903.0
CA-17,0.81293416,0.020235721,0.7679256,0.8477173,763050.0
CA-18,0.7753452,0.01999102,0.73349416,0.81328464,766446.0
CA-19,0.8264202,0.014899405,0.7949393,0.85400844,741670.0
CA-20,0.79776365,0.017416222,0.76137704,0.8300043,816301.0
CA-21,0.77434814,0.020581806,0.73073107,0.8136489,781030.0
CA-22,0.7649234,0.021763315,0.71911263,0.8059494,801190.0
CA-23,0.7920417,0.017954264,0.7541476,0.8258362,758159.0
CA-24,0.81488997,0.015805954,0.78153473,0.84482574,759754.0
CA-25,0.78870595,0.019245269,0.7484447,0.82495564,792547.0
CA-26,0.80968124,0.01641595,0.77516353,0.8406438,752072.0
CA-27,0.7935511,0.017901162,0.75557625,0.8271478,748947.0
CA-28,0.8198202,0.016934803,0.7838634,0.85084605,750473.0
CA-29,0.77995116,0.019254752,0.7398845,0.81686336,724188.0
CA-30,0.82380915,0.014530375,0.79306775,0.85089546,742465.0
CA-31,0.7901248,0.018798798,0.7503967,0.82549405,724902.0
CA-32,0.82528234,0.014735132,0.79440916,0.85261214,763383.0
CA-33,0.77584636,0.020044863,0.7331071,0.8141079,783085.0
CA-34,0.7796823,0.019453725,0.7387621,0.8162647,757957.0
CA-35,0.77774864,0.019696984,0.7359555,0.81502324,764991.0
CA-36,0.8373034,0.014128309,0.8075788,0.86331344,755979.0
CA-37,0.7796007,0.019133493,0.7391925,0.81572086,745172.0
CA-38,0.7958574,0.018512443,0.7566804,0.8301559,723153.0
CA-39,0.7767935,0.019790921,0.7351445,0.81464005,781393.0
CA-40,0.8264643,0.015029591,0.7948503,0.8542411,744040.0
CA-41,0.8091858,0.016389359,0.77478355,0.84000313,824261.0
CA-42,0.78061604,0.019400343,0.74021614,0.8176298,722832.0
CA-43,0.7742851,0.01998528,0.73189116,0.8119924,719904.0
CA-44,0.7835105,0.019087896,0.74318707,0.8196681,745315.0
CA-45,0.8068239,0.018318111,0.76750904,0.8400048,741955.0
CA-46,0.7747057,0.02010291,0.7320629,0.81293494,763482.0
CA-47,0.8297897,0.015178802,0.7976468,0.8574135,756374.0
CA-48,0.8105803,0.016238887,0.77650654,0.84063584,768427.0
CA-49,0.8285887,0.014616156,0.7974706,0.85598207,748742.0
CA-50,0.8306457,0.014454636,0.8003855,0.8572922,760799.0
CA-51,0.8158148,0.015552677,0.7834503,0.84468526,766663.0
CA-52,0.78457546,0.01903498,0.74413425,0.82057655,756424.0
CO-01,0.8182954,0.017760025,0.7811634,0.8538568,737571.0
CO-02,0.84448105,0.015609327,0.81229925,0.8758602,728480.0
CO-03,0.8267287,0.017147074,0.7910356,0.8610406,742989.0
CO-04,0.82769394,0.017337259,0.79201555,0.8622041,789556.0
CO-05,0.82001305,0.01786299,0.7832298,0.85550535,745429.0
CO-06,0.81675434,0.018006919,0.77940995,0.8529613,730105.0
CO-07,0.83648473,0.016166268,0.80314547,0.8689702,728169.0
CO-08,0.79737246,0.01993216,0.7556497,0.83733684,757121.0
CT-01,0.79815406,0.021811413,0.751384,0.8377217,734982.0
CT-02,0.81233835,0.020413376,0.76847607,0.8488634,731322.0
CT-03,0.80117226,0.021332126,0.7551943,0.839816,741632.0
CT-04,0.8046477,0.021582374,0.7580427,0.84366006,739349.0
CT-05,0.80138224,0.021483364,0.755084,0.8399438,727997.0
DC-98,0.829482,0.032961506,0.76495844,0.9011329,702518.0
DE-00,0.820267,0.017232383,0.786834,0.856558,1051959.0
FL-01,0.8246046,0.01650769,0.79602206,0.8594751,818627.0
FL-02,0.82295436,0.016436314,0.794481,0.8584347,819069.0
FL-03,0.8287111,0.01592123,0.80113876,0.8628407,845704.0
FL-04,0.8132494,0.017580736,0.78221464,0.85129666,842174.0
FL-05,0.8346263,0.01574697,0.80687284,0.86825985,852368.0
FL-06,0.8395185,0.015044321,0.81337494,0.8716948,834655.0
FL-07,0.8308536,0.015899416,0.8029256,0.8651398,813166.0
FL-08,0.84499747,0.014617093,0.8196703,0.8761805,831277.0
FL-09,0.8117465,0.018481065,0.77837515,0.8508777,909835.0
FL-10,0.80896753,0.01780597,0.77743477,0.8478779,802579.0
FL-11,0.83726627,0.015290173,0.8106343,0.8703126,893476.0
FL-12,0.83671,0.015478726,0.8098576,0.86934656,871025.0
FL-13,0.8473293,0.01426696,0.8226364,0.87813336,762922.0
FL-14,0.82355,0.016497804,0.79470617,0.8596653,826754.0
FL-15,0.8191919,0.016927486,0.78942823,0.85578024,835432.0
FL-16,0.8316905,0.015857596,0.80379474,0.86579293,882634.0
FL-17,0.85323566,0.013954617,0.8287977,0.8828989,876680.0
FL-18,0.81815886,0.017173108,0.7878085,0.8547992,884254.0
FL-19,0.8524192,0.013868087,0.82798374,0.8823335,827867.0
FL-20,0.8030861,0.019271374,0.7677734,0.84419966,818464.0
FL-21,0.8405563,0.014964139,0.8144561,0.87277496,858841.0
FL-22,0.8344034,0.015673624,0.8067971,0.8681289,804325.0
FL-23,0.83801204,0.015232783,0.8116298,0.87121373,803072.0
FL-24,0.80853355,0.018592702,0.77494144,0.8486152,830140.0
FL-25,0.822935,0.01730377,0.7916829,0.85994446,807005.0
