state,estimate,sd,q025,q975,pop
AK,0.80618083,0.021310192,0.76247334,0.8475912,771777.0
AL,0.80982286,0.016944798,0.7734317,0.8420695,5157530.0
AR,0.8069492,0.017690038,0.77152926,0.8417198,3112123.0
AZ,0.8184973,0.018496143,0.78336364,0.85739374,7635653.0
CA,0.80271435,0.016873546,0.7673025,0.8343847,39511040.0
CO,0.8233832,0.017370386,0.78722644,0.8580362,5959420.0
CT,0.8035314,0.021271244,0.7576591,0.84195334,3675282.0
DC,0.8294821,0.03296151,0.7649586,0.90113276,702518.0
DE,0.8202669,0.017232375,0.78683394,0.85655797,1051959.0
FL,0.8281673,0.016125152,0.7998634,0.86297125,23383670.0
GA,0.80130625,0.018005967,0.76088464,0.8329298,11180953.0
HI,0.8122093,0.022797573,0.7658234,0.85644627,1623349.0
IA,0.8133661,0.017935423,0.7760947,0.84667575,3241275.0
ID,0.81758404,0.019255081,0.7794131,0.8565938,2001731.0
IL,0.811316,0.016503425,0.777246,0.84392464,12710363.0
IN,0.8026923,0.017784657,0.76503384,0.83673775,6924042.0
KS,0.81326085,0.018082662,0.7764606,0.84884924,2970525.0
KY,0.81494594,0.017790817,0.7813523,0.85223997,4633683.0
LA,0.8028428,0.018630387,0.76415616,0.8402918,4597579.0
MA,0.8075985,0.020741533,0.76275295,0.8440927,7139334.0
MD,0.82273805,0.017381024,0.79054374,0.860727,6263058.0
ME,0.8125007,0.021656971,0.7655164,0.85027397,1404894.0
MI,0.815682,0.016357599,0.78217185,0.8486411,10140508.0
MN,0.8182387,0.017096212,0.78348416,0.8518444,5795179.0
MO,0.80742955,0.017313838,0.76905173,0.8384701,6250552.0
MS,0.80811733,0.018202735,0.77168125,0.8454288,2942933.0
MT,0.831543,0.01834607,0.79577017,0.8684589,1137721.0
NC,0.814753,0.016231747,0.77989566,0.84527075,11046000.0
ND,0.8167998,0.018095622,0.78064054,0.8528749,796604.0
NE,0.8135338,0.018751023,0.77446073,0.85104483,2005729.0
NH,0.81060374,0.021932242,0.76242816,0.8476765,1409424.0
NJ,0.8020418,0.022009727,0.75464594,0.8426556,9500729.0
NM,0.8150916,0.020629816,0.77673155,0.8586339,2165227.0
NV,0.8005124,0.020227313,0.7601627,0.8422255,3270459.0
NY,0.7953658,0.020803317,0.7499494,0.8317888,19871348.0
OH,0.8102869,0.016503718,0.7757705,0.8422166,11926955.0
OK,0.80532813,0.018355748,0.76450324,0.8388132,4099977.0
OR,0.8250187,0.0172137,0.7911538,0.86126655,4274326.0
PA,0.79391795,0.02081288,0.7486175,0.83029073,13164381.0
RI,0.7978112,0.024147663,0.7422393,0.837251,1113473.0
SC,0.8135305,0.01729499,0.7755663,0.8449812,5478680.0
SD,0.815638,0.018781206,0.77695364,0.8510253,924668.0
TN,0.8169012,0.017144937,0.7854498,0.853195,7236086.0
TX,0.7913501,0.017933683,0.7506214,0.8224238,31340704.0
UT,0.8092852,0.01926095,0.7712641,0.8484973,3504190.0
VA,0.8225407,0.016355097,0.7906611,0.8562847,8817822.0
VT,0.8194559,0.021448158,0.7743134,0.8585653,648585.0
WA,0.8206604,0.017605556,0.78641474,0.8572779,7965494.0
WI,0.81468016,0.016888829,0.7778744,0.8464189,5961250.0
WV,0.8185371,0.018081028,0.78304404,0.85579145,1792514.0
WY,0.81948453,0.018981723,0.78138757,0.8568324,588050.0
