cd,estimate,sd,q025,q975,pop
AK-00,0.28166932,0.023872217,0.23328026,0.32957008,771777.0
AL-01,0.26938674,0.01830392,0.23073755,0.30465305,760354.0
AL-02,0.28685892,0.02061258,0.24407198,0.32755196,703340.0
AL-03,0.26836044,0.018241059,0.2298594,0.30361375,737627.0
AL-04,0.2621838,0.018230176,0.22364132,0.2972696,735273.0
AL-05,0.27021694,0.01819794,0.23124215,0.30541334,773839.0
AL-06,0.27151912,0.01839888,0.23213844,0.30713418,728180.0
AL-07,0.2870931,0.020568453,0.24435341,0.32794672,718917.0
AR-01,0.27024344,0.018469505,0.23355792,0.30971384,762586.0
AR-02,0.27455822,0.018326951,0.23814973,0.31374508,773170.0
AR-03,0.25940922,0.01825635,0.22317664,0.29877132,820072.0
AR-04,0.2746462,0.018602015,0.23775448,0.31419575,756295.0
AZ-01,0.31012863,0.021209568,0.26816106,0.35179523,819917.0
AZ-02,0.2979187,0.021911878,0.25448704,0.34066826,903804.0
AZ-03,0.28268006,0.023043383,0.23832966,0.32837778,835284.0
AZ-04,0.29506928,0.020903204,0.2537622,0.33642253,795543.0
AZ-05,0.29472956,0.021413999,0.2525559,0.33687863,902045.0
AZ-06,0.31034523,0.021419536,0.2681016,0.35263366,834008.0
AZ-07,0.29207185,0.022757793,0.2477914,0.33693606,813344.0
AZ-08,0.30409294,0.021265872,0.26164478,0.34579122,815907.0
AZ-09,0.29648504,0.021567225,0.253861,0.33860746,915801.0
CA-01,0.30524257,0.01903968,0.27086943,0.34493667,759313.0
CA-02,0.3177381,0.018717652,0.2834678,0.3569365,753545.0
CA-03,0.31615677,0.018770628,0.28184322,0.35518283,807237.0
CA-04,0.3146032,0.018880587,0.27998775,0.35419807,763739.0
CA-05,0.31240252,0.018937945,0.27811617,0.35185814,772856.0
CA-06,0.30881998,0.019085437,0.27453932,0.34869933,761736.0
CA-07,0.319375,0.020060174,0.2829328,0.36103573,765977.0
CA-08,0.31852037,0.019982861,0.28199384,0.36024538,750632.0
CA-09,0.31149903,0.02042139,0.27442425,0.354155,784684.0
CA-10,0.32727912,0.01972122,0.29145968,0.3678559,773752.0
CA-11,0.32830277,0.020236107,0.2915905,0.37003705,731933.0
CA-12,0.32659724,0.019465016,0.29138884,0.36678278,758276.0
CA-13,0.29966742,0.021824004,0.2606864,0.34495473,805411.0
CA-14,0.33004886,0.022209896,0.28988776,0.37588635,728910.0
CA-15,0.3308411,0.021401007,0.29226288,0.37558457,723610.0
CA-16,0.33395126,0.020736516,0.2963057,0.37749395,751903.0
CA-17,0.337035,0.025465457,0.2910961,0.3901743,763050.0
CA-18,0.30316272,0.021229478,0.26511425,0.3474321,766446.0
CA-19,0.32623404,0.019202672,0.29152426,0.3660848,741670.0
CA-20,0.30460557,0.01954546,0.26926956,0.34545514,816301.0
CA-21,0.30263603,0.021871222,0.26310444,0.3481705,781030.0
CA-22,0.29585183,0.022447115,0.25509638,0.34255508,801190.0
CA-23,0.3043246,0.019958774,0.26816142,0.34632272,758159.0
CA-24,0.31473786,0.01914613,0.27988014,0.3546038,759754.0
CA-25,0.30851245,0.02155997,0.26948476,0.35346642,792547.0
CA-26,0.31353033,0.019463995,0.27836108,0.35413218,752072.0
CA-27,0.30963317,0.019990973,0.27327755,0.3509753,748947.0
CA-28,0.33997405,0.021824216,0.30032605,0.3852112,750473.0
CA-29,0.3021157,0.020789834,0.26457372,0.345895,724188.0
CA-30,0.31358993,0.018227791,0.2802705,0.35184315,742465.0
CA-31,0.3160168,0.021437228,0.27736205,0.36094713,724902.0
CA-32,0.32146803,0.018696891,0.2874194,0.36028746,763383.0
CA-33,0.30262634,0.021367738,0.26430333,0.34739295,783085.0
CA-34,0.30931512,0.021300087,0.270686,0.3536201,757957.0
CA-35,0.304599,0.021221468,0.26620612,0.34885284,764991.0
CA-36,0.32770413,0.018860789,0.2932674,0.36681327,755979.0
CA-37,0.31058928,0.020752473,0.27302194,0.35395774,745172.0
CA-38,0.32103515,0.021703936,0.28170064,0.36642003,723153.0
CA-39,0.30201846,0.021133918,0.26384202,0.34666538,781393.0
CA-40,0.3245446,0.019244937,0.2894452,0.36465156,744040.0
CA-41,0.31501126,0.019482736,0.27947652,0.3558421,824261.0
CA-42,0.3028845,0.021030582,0.2649266,0.3475453,722832.0
CA-43,0.31231603,0.021539645,0.27330333,0.35737005,719904.0
