state,estimate,sd,q025,q975,pop
AK,0.28166932,0.023872213,0.23328026,0.32957003,771777.0
AL,0.2734893,0.018555388,0.23438157,0.309296,5157530.0
AR,0.2695307,0.018261451,0.23278289,0.30877912,3112123.0
AZ,0.29811132,0.021374505,0.2559726,0.339816,7635653.0
CA,0.3152496,0.019595012,0.27978268,0.3561707,39511040.0
CO,0.28712794,0.022633584,0.23842844,0.32765022,5959420.0
CT,0.29087844,0.02097129,0.24858408,0.33246768,3675282.0
DC,0.3543854,0.07237334,0.25963125,0.54586905,702518.0
DE,0.2884624,0.020849634,0.2501583,0.33594787,1051959.0
FL,0.2914834,0.017388213,0.2598515,0.32913846,23383670.0
GA,0.28205603,0.017681345,0.24739072,0.31890932,11180953.0
HI,0.31608862,0.027010584,0.2629714,0.37110063,1623349.0
IA,0.24447988,0.01931601,0.20785278,0.28394905,3241275.0
ID,0.28495198,0.022665953,0.23750122,0.3289442,2001731.0
IL,0.24748136,0.018326322,0.21035258,0.28268042,12710363.0
IN,0.24118231,0.018467057,0.20396473,0.2779015,6924042.0
KS,0.24670404,0.019885568,0.20960619,0.28787366,2970525.0
KY,0.25627744,0.019078486,0.21376131,0.29093054,4633683.0
LA,0.27262062,0.01995835,0.22759299,0.31057772,4597579.0
MA,0.29476917,0.020790692,0.25510028,0.33968914,7139334.0
MD,0.28757095,0.01834862,0.24998514,0.3249735,6263058.0
ME,0.28193277,0.02257811,0.23439373,0.32620394,1404894.0
MI,0.251885,0.01804614,0.21732816,0.28919935,10140508.0
MN,0.24956581,0.019228378,0.21303135,0.29034704,5795179.0
MO,0.24336995,0.018091144,0.20708644,0.2780042,6250552.0
MS,0.27727216,0.020372316,0.23342462,0.31683692,2942933.0
MT,0.29032436,0.023576409,0.24038671,0.3359147,1137721.0
NC,0.28952393,0.020460043,0.25616318,0.33804205,11046000.0
ND,0.24232762,0.020670004,0.20323956,0.28696904,796604.0
NE,0.24625236,0.02117952,0.20760486,0.2922805,2005729.0
NH,0.28333634,0.022768145,0.23737502,0.3293412,1409424.0
NJ,0.29286507,0.021771405,0.24817915,0.3355767,9500729.0
NM,0.29687065,0.023395248,0.24865362,0.34413,2165227.0
NV,0.29228202,0.023289535,0.24541765,0.3373973,3270459.0
NY,0.2973877,0.019654967,0.260963,0.3384374,19871348.0
OH,0.24578266,0.017651793,0.21108049,0.28121015,11926955.0
OK,0.26529336,0.018920654,0.22903852,0.30511832,4099977.0
OR,0.29557854,0.020616654,0.2543763,0.3358453,4274326.0
PA,0.28722987,0.019601809,0.24986494,0.32740355,13164381.0
RI,0.28815228,0.023188071,0.2435521,0.33642295,1113473.0
SC,0.28245616,0.018576698,0.24620046,0.32269055,5478680.0
SD,0.24226642,0.020594878,0.20220393,0.28578135,924668.0
TN,0.27815956,0.018977348,0.2460535,0.32135466,7236086.0
TX,0.263184,0.017029656,0.22734916,0.29420066,31340704.0
UT,0.28011942,0.02162906,0.23805203,0.32340068,3504190.0
VA,0.2816497,0.01747593,0.24802606,0.3188068,8817822.0
VT,0.29065368,0.023322914,0.2462965,0.3403906,648585.0
WA,0.29238015,0.020840898,0.24972484,0.3321536,7965494.0
WI,0.25229302,0.019593323,0.21811368,0.2950037,5961250.0
WV,0.2635401,0.019817568,0.22310331,0.3034155,1792514.0
WY,0.28477797,0.023394937,0.23533313,0.3289706,588050.0
