cd,estimate,sd,q025,q975,pop
AK-00,0.84068286,0.023798605,0.791408,0.8892931,771777.0
AL-01,0.83901733,0.019136129,0.7990599,0.8765233,760354.0
AL-02,0.7978587,0.023943301,0.74892586,0.84577787,703340.0
AL-03,0.83682233,0.019297311,0.7968583,0.8747026,737627.0
AL-04,0.84930193,0.018332284,0.8108978,0.88507694,735273.0
AL-05,0.8360259,0.019353628,0.7957736,0.8741988,773839.0
AL-06,0.83640504,0.019426368,0.79566175,0.87493134,728180.0
AL-07,0.796743,0.023980761,0.7474105,0.84476125,718917.0
AR-01,0.834635,0.020198282,0.7893279,0.8715827,762586.0
AR-02,0.82848936,0.02064071,0.7821649,0.8659791,773170.0
AR-03,0.8404995,0.019855354,0.7961207,0.8773341,820072.0
AR-04,0.82609105,0.02098086,0.7793089,0.8645366,756295.0
AZ-01,0.82214284,0.020396665,0.7766679,0.8600206,819917.0
AZ-02,0.82931215,0.02065275,0.7843329,0.86713713,903804.0
AZ-03,0.7918526,0.02529712,0.73746216,0.8384651,835284.0
AZ-04,0.82079685,0.020646421,0.7751542,0.8591482,795543.0
AZ-05,0.8243609,0.020530581,0.77881145,0.8622542,902045.0
AZ-06,0.81809723,0.02086883,0.77213025,0.8570684,834008.0
AZ-07,0.7983909,0.02430488,0.74605966,0.8434151,813344.0
AZ-08,0.82063824,0.020660384,0.7748058,0.85942817,815907.0
AZ-09,0.8173628,0.021311333,0.77089643,0.85698414,915801.0
CA-01,0.82062966,0.014906193,0.78966385,0.8485361,759313.0
CA-02,0.81973994,0.014575871,0.789445,0.84673125,753545.0
CA-03,0.82168955,0.014416887,0.79151106,0.84852016,807237.0
CA-04,0.80652964,0.015480836,0.7749202,0.8354467,763739.0
CA-05,0.81483245,0.015037861,0.7837557,0.8432281,772856.0
CA-06,0.80573404,0.015634986,0.7736968,0.8344823,761736.0
CA-07,0.78366196,0.017491832,0.7477262,0.81641066,765977.0
CA-08,0.77902216,0.017570082,0.743188,0.8112696,750632.0
CA-09,0.7838706,0.01790423,0.7472165,0.81716436,784684.0
CA-10,0.79217905,0.016666906,0.7579642,0.82343817,773752.0
CA-11,0.7884152,0.017640887,0.7520935,0.821597,731933.0
CA-12,0.7828951,0.01685591,0.74866223,0.8143733,758276.0
CA-13,0.78657365,0.019660475,0.746578,0.8229017,805411.0
CA-14,0.7683413,0.020218318,0.72674346,0.8059153,728910.0
CA-15,0.7739986,0.019289574,0.73393995,0.8101395,723610.0
CA-16,0.78323185,0.018165922,0.7459619,0.81712747,751903.0
CA-17,0.7599966,0.023842458,0.71053123,0.8046782,763050.0
CA-18,0.78246206,0.019218089,0.74338615,0.8179601,766446.0
CA-19,0.79605085,0.016075833,0.7631719,0.8260823,741670.0
CA-20,0.80629516,0.016136926,0.7730294,0.8359869,816301.0
CA-21,0.7830383,0.019774953,0.7424929,0.81960064,781030.0
CA-22,0.78569293,0.020477092,0.74401164,0.8236556,801190.0
CA-23,0.799477,0.017055588,0.76429355,0.8310682,758159.0
CA-24,0.80697143,0.015835162,0.77461237,0.8363202,759754.0
CA-25,0.7866258,0.019463565,0.7466407,0.82231,792547.0
CA-26,0.79991066,0.016434807,0.7664522,0.8301483,752072.0
CA-27,0.78940153,0.01727729,0.7543153,0.8213227,748947.0
CA-28,0.76420546,0.019880254,0.7229215,0.8013657,750473.0
CA-29,0.7858528,0.018788958,0.74751866,0.82076466,724188.0
CA-30,0.8116544,0.014601223,0.78146076,0.83867586,742465.0
CA-31,0.77130646,0.019519515,0.7307663,0.807841,724902.0
CA-32,0.8028085,0.015289694,0.7717485,0.8312614,763383.0
CA-33,0.78171444,0.019354505,0.7420062,0.8174378,783085.0
CA-34,0.7722954,0.019609585,0.7316118,0.80899304,757957.0
CA-35,0.77840656,0.019286295,0.73912746,0.81384444,764991.0
CA-36,0.80242205,0.015429577,0.77109206,0.831149,755979.0
CA-37,0.77274984,0.018971477,0.7339648,0.8080039,745172.0
CA-38,0.7670212,0.019837864,0.7257661,0.8040721,723153.0
CA-39,0.7830931,0.01919495,0.7436583,0.81864524,781393.0
CA-40,0.7963691,0.016063051,0.7637016,0.82628083,744040.0
CA-41,0.79830843,0.016395506,0.76499605,0.828747,824261.0
CA-42,0.7842499,0.019106459,0.7452485,0.81987816,722832.0
CA-43,0.7648095,0.019929562,0.7242293,0.801971,719904.0
CA-44,0.7720304,0.019200325,0.7327763,0.8076475,745315.0
CA-45,0.7644192,0.020744437,0.7211965,0.8031644,741955.0
CA-46,0.77736914,0.019624513,0.7370789,0.8136286,763482.0
CA-47,0.79492795,0.016749237,0.7606286,0.8262975,756374.0
CA-48,0.81026906,0.015417144,0.77840835,0.8391454,768427.0
CA-49,0.81517535,0.014720739,0.7848519,0.84254605,748742.0
CA-50,0.80653125,0.015132469,0.775752,0.83500886,760799.0
CA-51,0.80276424,0.015509108,0.77129614,0.83164227,766663.0
CA-52,0.7751035,0.019118264,0.73594856,0.81066126,756424.0
CO-01,0.830118,0.021013696,0.7900302,0.87320215,737571.0
CO-02,0.845134,0.019404115,0.80836356,0.8853432,728480.0
CO-03,0.8383199,0.02043525,0.79894257,0.88061416,742989.0
CO-04,0.84246224,0.019877395,0.8046684,0.8833482,789556.0
CO-05,0.8404795,0.020073486,0.8021266,0.88201016,745429.0
CO-06,0.82493174,0.021595467,0.7839042,0.8694221,730105.0
CO-07,0.84379715,0.019543678,0.806549,0.88427824,728169.0
CO-08,0.8309275,0.021765104,0.789232,0.8749309,757121.0
CT-01,0.809014,0.02177138,0.7621918,0.85044044,734982.0
CT-02,0.8324482,0.019647857,0.7901517,0.86963296,731322.0
CT-03,0.8125555,0.021381596,0.766285,0.8533964,741632.0
CT-04,0.8091696,0.021846721,0.76181674,0.85060567,739349.0
CT-05,0.81798863,0.021006335,0.7726278,0.85776985,727997.0
DC-98,0.71782774,0.085741825,0.49007988,0.8126905,702518.0
DE-00,0.8134616,0.024846151,0.7551031,0.8601136,1051959.0
FL-01,0.8430753,0.015446463,0.81214225,0.8735857,818627.0
FL-02,0.8314058,0.0162876,0.7989956,0.86386555,819069.0
FL-03,0.8342648,0.01596431,0.80247134,0.8658674,845704.0
FL-04,0.81793344,0.017711205,0.78287196,0.85305667,842174.0
FL-05,0.8340922,0.016102934,0.80229557,0.8664813,852368.0
FL-06,0.8347892,0.01593918,0.80313665,0.86643285,834655.0
FL-07,0.8290223,0.016512474,0.7962647,0.8621917,813166.0
FL-08,0.83586794,0.015779587,0.804819,0.86743623,831277.0
FL-09,0.80770445,0.019729331,0.7682876,0.84625113,909835.0
FL-10,0.8114062,0.018190565,0.77513945,0.8477428,802579.0
FL-11,0.8251027,0.016696509,0.7917799,0.858558,893476.0
FL-12,0.83940834,0.015783396,0.80830973,0.8707144,871025.0
FL-13,0.83859676,0.015555815,0.80796456,0.87010497,762922.0
FL-14,0.8187546,0.017392186,0.78369445,0.85378826,826754.0
FL-15,0.8212094,0.017328294,0.78667754,0.85594416,835432.0
FL-16,0.8276432,0.016646463,0.7942489,0.86100125,882634.0
FL-17,0.8343921,0.016072564,0.8026646,0.8664798,876680.0
FL-18,0.82317066,0.017444182,0.7883887,0.85759586,884254.0
FL-19,0.8300443,0.01636026,0.7974537,0.86289865,827867.0
FL-20,0.7836509,0.02123874,0.7412416,0.82583344,818464.0
FL-21,0.825088,0.016648656,0.791734,0.85836387,858841.0
FL-22,0.8132759,0.017828954,0.777348,0.848985,804325.0
FL-23,0.8210044,0.017029122,0.786973,0.8552746,803072.0
FL-24,0.78524375,0.020941164,0.74341834,0.8271866,830140.0
FL-25,0.8048729,0.019412385,0.7658314,0.8431367,807005.0
FL-26,0.79718596,0.022213204,0.75191975,0.8388945,851023.0
FL-27,0.7945073,0.022458958,0.74846685,0.8371065,788663.0
FL-28,0.79470766,0.02251637,0.7487516,0.83724475,791639.0
GA-01,0.82838273,0.018266242,0.7918642,0.8660982,806527.0
GA-02,0.80197567,0.021249019,0.7598398,0.8454769,757237.0
GA-03,0.83091396,0.0180082,0.7950918,0.86805373,799779.0
GA-04,0.7878103,0.022516657,0.7443562,0.83385026,759723.0
GA-05,0.80015486,0.021235641,0.75846344,0.8438222,771919.0
GA-06,0.79389536,0.02197544,0.75037485,0.83881086,803622.0
GA-07,0.8288534,0.018871583,0.79166853,0.86756927,815664.0
GA-08,0.82360077,0.018861312,0.78613776,0.8623355,787859.0
GA-09,0.83091116,0.01823055,0.7946865,0.868401,828867.0
GA-10,0.82967967,0.018092137,0.79340005,0.8671628,835723.0
GA-11,0.8391915,0.017396139,0.80440545,0.87480956,811649.0
GA-12,0.81850266,0.019327464,0.78022695,0.85822624,786389.0
GA-13,0.78656226,0.022754727,0.742083,0.8333153,820455.0
GA-14,0.8417281,0.017263873,0.8075086,0.87704116,795540.0
HI-01,0.77157056,0.032748852,0.7032041,0.83552736,788658.0
HI-02,0.8038105,0.02787758,0.74515027,0.8583183,834691.0
IA-01,0.85127443,0.018840767,0.81504977,0.89122903,804653.0
IA-02,0.85216343,0.01879634,0.8163725,0.8918154,797275.0
IA-03,0.84644127,0.019417008,0.80889094,0.8874222,837847.0
IA-04,0.8497994,0.019098813,0.81347257,0.88999045,801500.0
ID-01,0.84907144,0.021333113,0.80581117,0.8939912,1033764.0
ID-02,0.8472156,0.02144997,0.80396926,0.8925964,967967.0
IL-01,0.7947973,0.021884615,0.75317025,0.83892787,735217.0
IL-02,0.7922037,0.022366608,0.7493946,0.8375661,732314.0
IL-03,0.8179481,0.020387398,0.7778516,0.8583902,732739.0
IL-04,0.803663,0.023257734,0.7576746,0.8495366,712060.0
IL-05,0.83883643,0.01756614,0.80524904,0.87410516,773670.0
IL-06,0.8351649,0.017784016,0.80138576,0.8714724,764437.0
IL-07,0.7955537,0.021707064,0.754418,0.83962774,761127.0
IL-08,0.8223393,0.019462725,0.78494525,0.8613251,752540.0
IL-09,0.82113016,0.019202089,0.7846193,0.8596298,740405.0
IL-10,0.8254463,0.018921338,0.78942144,0.86379933,749734.0
IL-11,0.82958055,0.018427739,0.79453075,0.8668977,766547.0
IL-12,0.85381687,0.01616497,0.82240134,0.8856608,745851.0
IL-13,0.8309104,0.017955009,0.79661846,0.86745936,741856.0
IL-14,0.8292511,0.018504579,0.7940958,0.8667307,766543.0
IL-15,0.8552444,0.016051546,0.8241422,0.8870328,739138.0
IL-16,0.8520082,0.016392369,0.81984603,0.8845416,752718.0
IL-17,0.8355811,0.017682275,0.80166477,0.8715021,743467.0
IN-01,0.8289663,0.020481067,0.7914075,0.8708802,760476.0
IN-02,0.8467741,0.018862575,0.81191003,0.88586676,751805.0
IN-03,0.85167766,0.018391196,0.81751126,0.8894146,774663.0
IN-04,0.8508474,0.018349538,0.8171691,0.8886385,788977.0
IN-05,0.8504656,0.018296648,0.81693697,0.8883055,791240.0
IN-06,0.8504376,0.018472722,0.8166148,0.88848376,777102.0
IN-07,0.81757957,0.021882629,0.7771753,0.8626396,757175.0
IN-08,0.85838103,0.017656922,0.8252454,0.8950055,758354.0
IN-09,0.85828346,0.01762155,0.82529783,0.89492077,764250.0
KS-01,0.8510979,0.020410849,0.8139362,0.89434874,731411.0
KS-02,0.8460696,0.020941628,0.8080784,0.89087,739200.0
KS-03,0.84768504,0.020646311,0.8106396,0.89162874,754035.0
KS-04,0.845868,0.020934287,0.8077884,0.8905713,745879.0
KY-01,0.850208,0.0183045,0.81134015,0.88654107,768405.0
KY-02,0.8513805,0.018141845,0.8128693,0.8873079,775347.0
KY-03,0.8279467,0.020111155,0.78527254,0.8681519,763945.0
KY-04,0.85701805,0.017668765,0.8194915,0.89209753,776110.0
KY-05,0.85810554,0.01793348,0.8200222,0.89378333,772551.0
KY-06,0.84686095,0.018361371,0.80787164,0.8836035,777325.0
LA-01,0.8450442,0.02081605,0.8074292,0.8915766,798550.0
LA-02,0.8037443,0.025849393,0.7566056,0.861244,736229.0
LA-03,0.8379929,0.021716947,0.79842454,0.88621545,777815.0
LA-04,0.8409218,0.021301767,0.8021525,0.88825756,767411.0
LA-05,0.83386594,0.022110492,0.79391634,0.88315517,763961.0
LA-06,0.80348366,0.026210548,0.75521094,0.8612086,753613.0
MA-01,0.8300841,0.02029733,0.7886117,0.870485,779946.0
MA-02,0.8308438,0.02007946,0.7896505,0.87129164,801932.0
MA-03,0.82106984,0.021340597,0.77783144,0.8638204,792172.0
MA-04,0.83418065,0.019838527,0.7934842,0.87414926,802351.0
MA-05,0.82183343,0.02116121,0.7786161,0.86416316,790991.0
MA-06,0.8326833,0.019948421,0.7919224,0.87279147,796608.0
MA-07,0.8077085,0.02244283,0.7611004,0.8522813,792910.0
MA-08,0.824669,0.020658115,0.78218436,0.86631685,785102.0
MA-09,0.8419051,0.019144215,0.8026783,0.880277,797322.0
MD-01,0.84139407,0.017964616,0.80749875,0.8795075,791828.0
MD-02,0.8221959,0.01972963,0.7852057,0.864111,783072.0
MD-03,0.8235603,0.019680325,0.786681,0.86529326,782813.0
MD-04,0.77880055,0.024656875,0.73209834,0.82984227,763408.0
MD-05,0.80799633,0.021263529,0.76791894,0.852406,805327.0
MD-06,0.83066905,0.01914397,0.79454976,0.87155026,821653.0
MD-07,0.79532593,0.022871815,0.751631,0.8423386,741555.0
MD-08,0.8083772,0.021303345,0.7680668,0.8537915,773402.0
ME-01,0.8495345,0.021514121,0.80803645,0.8929235,707680.0
ME-02,0.85290265,0.021298395,0.81175745,0.8959798,697214.0
MI-01,0.84583855,0.016246578,0.81036234,0.87523824,787656.0
MI-02,0.84502995,0.016402908,0.8093649,0.8746799,789195.0
MI-03,0.8300864,0.017431766,0.7919357,0.86212116,791156.0
MI-04,0.8341347,0.01712194,0.7966659,0.8655606,785326.0
MI-05,0.8415071,0.016633058,0.80532503,0.87179565,775211.0
MI-06,0.81880087,0.018282395,0.7786581,0.8525521,768984.0
MI-07,0.83730227,0.016747035,0.80063987,0.8680925,792603.0
