state,estimate,sd,q025,q975,pop
AK,0.84068286,0.023798602,0.79140776,0.8892931,771777.0
AL,0.82784605,0.020218208,0.78609896,0.86784405,5157530.0
AR,0.83257663,0.020289933,0.7869579,0.8697041,3112123.0
AZ,0.8160942,0.021324068,0.7694344,0.8555957,7635653.0
CA,0.7898461,0.016867451,0.7553822,0.82080114,39511040.0
CO,0.83704466,0.02035888,0.7981069,0.8790018,5959420.0
CT,0.81619996,0.021084843,0.770727,0.8561461,3675282.0
DC,0.71782774,0.08574182,0.49007997,0.8126908,702518.0
DE,0.8134616,0.02484615,0.7551032,0.86011374,1051959.0
FL,0.8200374,0.017296402,0.785272,0.854595,23383670.0
GA,0.81754184,0.019255223,0.77925944,0.8570451,11180953.0
HI,0.7881479,0.02998291,0.7256241,0.84613395,1623349.0
IA,0.8498781,0.019025268,0.8135662,0.8901675,3241275.0
ID,0.848175,0.021384904,0.8048825,0.8933796,2001731.0
IL,0.8256421,0.018539982,0.7906095,0.86323225,12710363.0
IN,0.8460121,0.018762829,0.81146723,0.8849025,6924042.0
KS,0.8476674,0.020705456,0.80998087,0.8918012,2970525.0
KY,0.84862816,0.0183397,0.809664,0.8849606,4633683.0
LA,0.8278793,0.022788288,0.7865738,0.8787847,4597579.0
MA,0.8272456,0.02039992,0.7855019,0.8683116,7139334.0
MD,0.8139035,0.020476744,0.7753817,0.85742086,6263058.0
ME,0.85120904,0.021395367,0.8102644,0.8944402,1404894.0
MI,0.8269996,0.01756087,0.7891235,0.8593957,10140508.0
MN,0.82308245,0.022718519,0.7695177,0.85921633,5795179.0
MO,0.8328073,0.017973058,0.7927998,0.86545104,6250552.0
MS,0.81405795,0.02302906,0.76434535,0.85879,2942933.0
MT,0.85044426,0.021601668,0.8060997,0.8941927,1137721.0
NC,0.8296372,0.01870155,0.79197246,0.867313,11046000.0
ND,0.84381956,0.021671485,0.79386944,0.88155663,796604.0
NE,0.8399852,0.021820446,0.7928635,0.88286966,2005729.0
NH,0.85008854,0.0218755,0.8077639,0.895084,1409424.0
NJ,0.7950939,0.023398507,0.74188125,0.8361433,9500729.0
NM,0.8098862,0.02483559,0.75855047,0.8598733,2165227.0
NV,0.81353396,0.024605107,0.7634915,0.8651318,3270459.0
NY,0.7899234,0.023235742,0.73760134,0.828461,19871348.0
OH,0.8405109,0.017428735,0.8069082,0.87665826,11926955.0
OK,0.84295255,0.019955013,0.80085456,0.88230574,4099977.0
OR,0.82468873,0.02095683,0.7766051,0.86055803,4274326.0
PA,0.84492767,0.020112647,0.8084894,0.8860362,13164381.0
RI,0.8288692,0.023692926,0.77917826,0.8747576,1113473.0
SC,0.83443415,0.020175036,0.7977093,0.87753284,5478680.0
SD,0.84381044,0.022160552,0.79201645,0.88266677,924668.0
TN,0.8351781,0.017934777,0.796859,0.8698799,7236086.0
TX,0.7996332,0.017760968,0.7627162,0.8319797,31340704.0
UT,0.85015583,0.020037118,0.8126984,0.89152735,3504190.0
VA,0.81001866,0.021172365,0.761109,0.8470156,8817822.0
VT,0.843678,0.023127792,0.79189456,0.8870884,648585.0
WA,0.8177285,0.020848338,0.7716208,0.8541256,7965494.0
WI,0.8240933,0.021038428,0.7750546,0.8575558,5961250.0
WV,0.8578123,0.020117264,0.8189216,0.89925814,1792514.0
WY,0.8443341,0.022000339,0.7966177,0.8857463,588050.0
