cd,estimate,sd,q025,q975,pop
AK-00,0.7419019,0.024856223,0.6897412,0.7886296,771777.0
AL-01,0.7815997,0.017721701,0.7458631,0.81861603,760354.0
AL-02,0.77808416,0.019272827,0.7388087,0.81694055,703340.0
AL-03,0.78180516,0.017739363,0.7461799,0.819055,737627.0
AL-04,0.7846897,0.017661799,0.74894404,0.8215496,735273.0
AL-05,0.77363837,0.017993467,0.7376781,0.81095856,773839.0
AL-06,0.76901776,0.018261734,0.7322972,0.8070283,728180.0
AL-07,0.7770435,0.019361082,0.7377464,0.81595325,718917.0
AR-01,0.7808278,0.017994307,0.741936,0.81485116,762586.0
AR-02,0.77303505,0.018128501,0.7337243,0.80708915,773170.0
AR-03,0.7779345,0.018243145,0.7389337,0.8126792,820072.0
AR-04,0.78045696,0.01801806,0.7414612,0.81438416,756295.0
AZ-01,0.71483576,0.023268083,0.6647716,0.7566202,819917.0
AZ-02,0.7443113,0.022575248,0.69439447,0.78473914,903804.0
AZ-03,0.752655,0.023728231,0.7015985,0.7951099,835284.0
AZ-04,0.7319321,0.02267362,0.6829737,0.7725116,795543.0
AZ-05,0.7344096,0.022721939,0.6849968,0.7751521,902045.0
AZ-06,0.7318716,0.022671143,0.68316257,0.7724425,834008.0
AZ-07,0.75045717,0.0232786,0.7004729,0.79253745,813344.0
AZ-08,0.73762834,0.022461811,0.68858504,0.7776766,815907.0
AZ-09,0.7489208,0.02234345,0.7007085,0.7885974,915801.0
CA-01,0.75316375,0.017732238,0.7165229,0.78632545,759313.0
CA-02,0.73214835,0.017960126,0.69537807,0.765128,753545.0
CA-03,0.7348599,0.017896106,0.6981885,0.7681951,807237.0
CA-04,0.740454,0.017931368,0.7035592,0.7738076,763739.0
CA-05,0.7464167,0.017777368,0.70955175,0.77951705,772856.0
CA-06,0.74614096,0.017893882,0.70926,0.7793339,761736.0
CA-07,0.74256575,0.018373685,0.7049025,0.77651066,765977.0
CA-08,0.74731266,0.018392561,0.7094668,0.78111184,750632.0
CA-09,0.7546133,0.018525058,0.7164035,0.788826,784684.0
CA-10,0.7233536,0.018676331,0.6856057,0.7580899,773752.0
CA-11,0.7112433,0.019539395,0.6725041,0.7480525,731933.0
CA-12,0.7211001,0.018748432,0.6835009,0.7558703,758276.0
CA-13,0.760666,0.019623559,0.72000575,0.79737556,805411.0
CA-14,0.73166853,0.019806119,0.69157094,0.7695792,728910.0
CA-15,0.7280183,0.01950056,0.68878806,0.7652206,723610.0
CA-16,0.713382,0.019597452,0.67410284,0.7501327,751903.0
CA-17,0.7163462,0.022301016,0.67166823,0.7605062,763050.0
CA-18,0.75673676,0.019405825,0.7164896,0.792628,766446.0
CA-19,0.7282596,0.018278195,0.6911224,0.7623456,741670.0
CA-20,0.7499583,0.0181619,0.7126964,0.7836863,816301.0
CA-21,0.7594508,0.019606996,0.7187393,0.79601073,781030.0
CA-22,0.76189876,0.020121213,0.7199074,0.79942596,801190.0
CA-23,0.7540775,0.018488368,0.71590656,0.78844434,758159.0
CA-24,0.7379616,0.018177167,0.7005758,0.7718144,759754.0
CA-25,0.75669134,0.019501628,0.7161553,0.79293966,792547.0
CA-26,0.7403448,0.018331606,0.70272934,0.7743851,752072.0
CA-27,0.74716496,0.018553277,0.7090324,0.781493,748947.0
CA-28,0.7284713,0.019434964,0.6892555,0.76486254,750473.0
CA-29,0.7549239,0.019274095,0.7149094,0.79059184,724188.0
CA-30,0.7204919,0.01832195,0.6837467,0.75448185,742465.0
CA-31,0.7545415,0.019252675,0.71454394,0.78995794,724902.0
CA-32,0.7224879,0.0182974,0.6852007,0.75605536,763383.0
CA-33,0.7559156,0.01952876,0.71560997,0.7922909,783085.0
CA-34,0.7515315,0.01957588,0.7109293,0.7873423,757957.0
CA-35,0.755756,0.019414572,0.71514106,0.7916769,764991.0
CA-36,0.7076363,0.018882344,0.6699806,0.74305534,755979.0
CA-37,0.7491775,0.019462923,0.7087439,0.78500706,745172.0
CA-38,0.7487692,0.019476295,0.7087461,0.7847529,723153.0
CA-39,0.75585663,0.019448608,0.7155692,0.79198354,781393.0
CA-40,0.7253364,0.018416256,0.6882237,0.75956476,744040.0
CA-41,0.74491316,0.018197155,0.70727545,0.7787522,824261.0
CA-42,0.7535873,0.019462354,0.7132012,0.7895142,722832.0
CA-43,0.7560218,0.019754026,0.71453863,0.79254955,719904.0
CA-44,0.75427943,0.019280164,0.71417725,0.7897452,745315.0
CA-45,0.74134886,0.019514218,0.70200807,0.778158,741955.0
CA-46,0.7570923,0.019504264,0.71641195,0.79307705,763482.0
CA-47,0.7163935,0.018985696,0.6783505,0.751988,756374.0
CA-48,0.7441778,0.01795497,0.7073688,0.7777559,768427.0
CA-49,0.72564304,0.018168412,0.6885272,0.7593969,748742.0
CA-50,0.7122408,0.018668951,0.6746065,0.74699295,760799.0
CA-51,0.7280993,0.018273558,0.6907732,0.7622293,766663.0
CA-52,0.7541341,0.019230045,0.71399873,0.78967947,756424.0
CO-01,0.7102986,0.025016824,0.6550243,0.7542694,737571.0
CO-02,0.70270646,0.025249647,0.6471179,0.7461933,728480.0
CO-03,0.73422605,0.024004743,0.68049735,0.7749431,742989.0
CO-04,0.7212347,0.024563633,0.6659097,0.763436,789556.0
CO-05,0.7275624,0.024270466,0.67276627,0.76897025,745429.0
CO-06,0.72253126,0.024518514,0.66722524,0.7648488,730105.0
CO-07,0.7162271,0.024616735,0.6618441,0.7581569,728169.0
CO-08,0.7425339,0.024065834,0.6882802,0.7842787,757121.0
CT-01,0.7608041,0.023261385,0.7066394,0.7999159,734982.0
CT-02,0.758405,0.023229439,0.7033469,0.7967512,731322.0
CT-03,0.75856036,0.023324147,0.70419335,0.7978024,741632.0
CT-04,0.74720526,0.023998251,0.6919185,0.7877029,739349.0
