state,estimate,sd,q025,q975,pop
AK,0.741902,0.02485622,0.68974125,0.7886296,771777.0
AL,0.7779834,0.018023893,0.7415984,0.8153203,5157530.0
AR,0.7780396,0.018001432,0.73952,0.8121368,3112123.0
AZ,0.7387337,0.022601848,0.68931425,0.7791617,7635653.0
CA,0.74077976,0.01837767,0.7033859,0.77486134,39511040.0
CO,0.72228026,0.024426034,0.66767025,0.7639395,5959420.0
CT,0.75701684,0.023373842,0.70237356,0.7964147,3675282.0
DC,0.6829299,0.06841459,0.5002453,0.7707773,702518.0
DE,0.7682442,0.019757295,0.7253939,0.806765,1051959.0
FL,0.76803046,0.016362187,0.73234135,0.7985868,23383670.0
GA,0.7642849,0.018289767,0.7212999,0.7955406,11180953.0
HI,0.74180573,0.026726227,0.6862219,0.79232776,1623349.0
IA,0.7863825,0.020202627,0.75122744,0.832442,3241275.0
ID,0.74615526,0.02404987,0.6979229,0.7920197,2001731.0
IL,0.76560605,0.01918238,0.72371674,0.7997169,12710363.0
IN,0.78694123,0.018331839,0.7536245,0.82539004,6924042.0
KS,0.77610016,0.019344568,0.7354059,0.81405675,2970525.0
KY,0.7818757,0.017867673,0.7478628,0.82124054,4633683.0
LA,0.78218275,0.019492611,0.7463361,0.8254024,4597579.0
MA,0.7579008,0.020663036,0.7138091,0.7976271,7139334.0
MD,0.76076543,0.017775508,0.7238204,0.7946049,6263058.0
ME,0.76891625,0.022064319,0.7216004,0.8101804,1404894.0
MI,0.78179085,0.017271094,0.74942446,0.8169349,10140508.0
MN,0.7783381,0.019948497,0.74160093,0.8211346,5795179.0
MO,0.7684899,0.020811167,0.7176802,0.8026121,6250552.0
MS,0.7778496,0.018851161,0.7378901,0.8151482,2942933.0
MT,0.7411853,0.02427338,0.6918582,0.7875194,1137721.0
NC,0.7719279,0.017138483,0.7380492,0.80651546,11046000.0
ND,0.77439743,0.020364529,0.73095053,0.8124323,796604.0
NE,0.78229845,0.020697795,0.7437845,0.8280183,2005729.0
NH,0.7654437,0.022554295,0.718496,0.80789906,1409424.0
NJ,0.770134,0.02116054,0.73076767,0.8133218,9500729.0
NM,0.7497539,0.024680557,0.69967043,0.8018152,2165227.0
NV,0.7503088,0.023716932,0.70187575,0.7936575,3270459.0
NY,0.7678173,0.018466812,0.73036194,0.8040636,19871348.0
OH,0.7805035,0.017761335,0.7459925,0.8174559,11926955.0
OK,0.78143984,0.01874035,0.7443944,0.82207775,4099977.0
OR,0.737739,0.021500753,0.6927878,0.77840674,4274326.0
PA,0.7762964,0.018673996,0.7407737,0.8150256,13164381.0
RI,0.7668263,0.023030177,0.7155061,0.80795336,1113473.0
SC,0.771947,0.018195901,0.7333733,0.80806184,5478680.0
SD,0.776581,0.020149907,0.73462254,0.81639695,924668.0
TN,0.7747977,0.016857972,0.73912174,0.8072501,7236086.0
TX,0.7751438,0.015727276,0.7438844,0.8069036,31340704.0
UT,0.742108,0.02273475,0.6921385,0.7843519,3504190.0
VA,0.7633598,0.0178437,0.7257853,0.79818124,8817822.0
VT,0.76243,0.02276011,0.7151119,0.80617523,648585.0
WA,0.73819107,0.02170225,0.6941982,0.77999973,7965494.0
WI,0.7725736,0.018577252,0.7308876,0.8070023,5961250.0
WV,0.78277606,0.019656079,0.746259,0.8265318,1792514.0
WY,0.7466346,0.023919595,0.69721127,0.7934441,588050.0
