cd,estimate,sd,q025,q975,pop
AK-00,0.8274525,0.019664362,0.7874194,0.8638961,771777.0
AL-01,0.8797254,0.012617681,0.85572165,0.90577245,760354.0
AL-02,0.8802436,0.013332841,0.85495824,0.9072055,703340.0
AL-03,0.88002384,0.012607839,0.85609597,0.90626645,737627.0
AL-04,0.88093853,0.012661245,0.85683465,0.9067896,735273.0
AL-05,0.8768919,0.01271048,0.8527461,0.9034733,773839.0
AL-06,0.8738947,0.0130125955,0.8491812,0.900859,728180.0
AL-07,0.88025236,0.013310184,0.85508436,0.9071894,718917.0
AR-01,0.8765552,0.013120829,0.84860486,0.89977694,762586.0
AR-02,0.87307334,0.013160818,0.8449237,0.89646554,773170.0
AR-03,0.87810606,0.01315975,0.8502124,0.90203124,820072.0
AR-04,0.87702566,0.013067567,0.8490765,0.9001404,756295.0
AZ-01,0.80953044,0.018560665,0.77089417,0.8436564,819917.0
AZ-02,0.82874584,0.018198606,0.7910614,0.86196667,903804.0
AZ-03,0.8459346,0.019026313,0.8058886,0.8800713,835284.0
AZ-04,0.82394516,0.017830195,0.7866289,0.8562706,795543.0
AZ-05,0.82254213,0.0181462,0.7850912,0.855838,902045.0
AZ-06,0.8211913,0.017979512,0.7833608,0.85385716,834008.0
AZ-07,0.84237486,0.018722592,0.8027899,0.8764529,813344.0
AZ-08,0.8239298,0.01785388,0.7869208,0.8562619,815907.0
AZ-09,0.83303255,0.017731832,0.79543054,0.8655159,915801.0
CA-01,0.83585334,0.015171577,0.80553675,0.8645801,759313.0
CA-02,0.82157445,0.015390454,0.791101,0.85103166,753545.0
CA-03,0.8227273,0.015418058,0.7920425,0.8522254,807237.0
CA-04,0.8305275,0.015252668,0.80057144,0.8594809,763739.0
CA-05,0.83232135,0.015154841,0.80228025,0.86141074,772856.0
CA-06,0.8340829,0.015300366,0.80400604,0.8631997,761736.0
CA-07,0.83411914,0.015914341,0.8020049,0.86397797,765977.0
CA-08,0.8382522,0.015855672,0.8063928,0.8681074,750632.0
CA-09,0.8429525,0.016054424,0.810516,0.8728681,784684.0
CA-10,0.8191161,0.016227437,0.7868357,0.8501682,773752.0
CA-11,0.8146784,0.016939506,0.7809055,0.84687716,731933.0
CA-12,0.8207518,0.01613394,0.7886903,0.85152614,758276.0
CA-13,0.85054,0.01729304,0.81559837,0.88212794,805411.0
CA-14,0.82824725,0.017557802,0.79359436,0.8613278,728910.0
CA-15,0.8257014,0.017169144,0.7917976,0.8584029,723610.0
CA-16,0.81407684,0.017156988,0.7799572,0.8467924,751903.0
CA-17,0.8201554,0.020022161,0.7802184,0.8584429,763050.0
CA-18,0.8484754,0.016977089,0.81450665,0.87945276,766446.0
CA-19,0.8225743,0.015721051,0.7915983,0.8524422,741670.0
CA-20,0.8381167,0.015507539,0.80728287,0.8671215,816301.0
CA-21,0.85061437,0.01721351,0.81584305,0.8822126,781030.0
CA-22,0.85327053,0.017837038,0.8172391,0.8856234,801190.0
CA-23,0.8428853,0.015741851,0.81137055,0.87251264,758159.0
CA-24,0.8300165,0.015436686,0.7996041,0.85921675,759754.0
CA-25,0.8479252,0.017074594,0.8139675,0.8795271,792547.0
CA-26,0.83286697,0.015649267,0.80171436,0.8622849,752072.0
CA-27,0.8388627,0.01588111,0.8069823,0.86840624,748947.0
CA-28,0.8248434,0.017264612,0.7907982,0.8577695,750473.0
CA-29,0.84716266,0.01667345,0.81382084,0.8779459,724188.0
CA-30,0.81846744,0.015568893,0.7874927,0.84826326,742465.0
CA-31,0.84662354,0.017092621,0.81331563,0.87795967,724902.0
CA-32,0.8191602,0.015628418,0.7882703,0.8493534,763383.0
CA-33,0.84831154,0.017040463,0.8141536,0.8795982,783085.0
CA-34,0.8466918,0.0172521,0.81274676,0.8781051,757957.0
CA-35,0.8487868,0.01704612,0.8152031,0.8802742,764991.0
CA-36,0.8094161,0.016258946,0.7772819,0.8405556,755979.0
CA-37,0.8435146,0.016577505,0.810148,0.87407255,745172.0
CA-38,0.84392726,0.017450178,0.80982566,0.8759419,723153.0
CA-39,0.84854543,0.01690391,0.8148295,0.8796039,781393.0
CA-40,0.8210596,0.015865527,0.7897455,0.85119843,744040.0
CA-41,0.8353291,0.015512664,0.804533,0.86446726,824261.0
CA-42,0.84715843,0.016954977,0.813547,0.8783851,722832.0
CA-43,0.8484994,0.01693518,0.81448215,0.87985,719904.0
CA-44,0.8466351,0.01673948,0.81358206,0.8772683,745315.0
CA-45,0.8333036,0.017412193,0.79916024,0.86614865,741955.0
CA-46,0.8491881,0.01719555,0.81518245,0.8805471,763482.0
CA-47,0.81434864,0.01649219,0.78169453,0.8457981,756374.0
CA-48,0.8329394,0.015329114,0.8026036,0.8620773,768427.0
CA-49,0.82000583,0.015474511,0.7893069,0.8496258,748742.0
CA-50,0.81306267,0.015959183,0.78128666,0.8438328,760799.0
CA-51,0.8241118,0.01561616,0.7929795,0.85383254,766663.0
CA-52,0.8471181,0.016866611,0.81384534,0.8780988,756424.0
CO-01,0.81697756,0.018250193,0.78089005,0.8526129,737571.0
CO-02,0.8060472,0.01880654,0.7691154,0.8431638,728480.0
CO-03,0.82653004,0.01767017,0.7919373,0.86114657,742989.0
CO-04,0.81774634,0.01821845,0.781883,0.8535493,789556.0
CO-05,0.8235895,0.017820941,0.787927,0.85835904,745429.0
CO-06,0.8220212,0.017926214,0.7867012,0.8568512,730105.0
CO-07,0.8144607,0.01821776,0.7786859,0.85007334,728169.0
CO-08,0.8367114,0.017579464,0.8016381,0.87062854,757121.0
CT-01,0.85392946,0.016449258,0.8178771,0.8826073,734982.0
CT-02,0.8492641,0.016638048,0.8131651,0.8785183,731322.0
CT-03,0.8519411,0.016497076,0.8156079,0.8808705,741632.0
CT-04,0.84695905,0.017072964,0.8097308,0.8770695,739349.0
CT-05,0.8530354,0.016452111,0.81703025,0.88177043,727997.0
DC-98,0.8071127,0.05525709,0.6629277,0.8837821,702518.0
DE-00,0.8723982,0.013696734,0.8418029,0.8973044,1051959.0
FL-01,0.8764849,0.011683836,0.8526142,0.89937246,818627.0
FL-02,0.8758115,0.011633737,0.8519191,0.89836425,819069.0
FL-03,0.8764922,0.011584812,0.85272086,0.89914376,845704.0
FL-04,0.8787395,0.011739291,0.8548859,0.9010621,842174.0
FL-05,0.8685543,0.012155151,0.8437648,0.8923375,852368.0
FL-06,0.876731,0.011595579,0.8528841,0.89971477,834655.0
FL-07,0.875282,0.0117766075,0.85162264,0.8981281,813166.0
FL-08,0.8727441,0.011746648,0.8485114,0.895814,831277.0
FL-09,0.8830976,0.012879296,0.857016,0.9071787,909835.0
FL-10,0.8803085,0.011814204,0.85625803,0.90277547,802579.0
FL-11,0.87438256,0.011736212,0.8505643,0.8969903,893476.0
FL-12,0.8767676,0.0117650805,0.85262537,0.8997169,871025.0
FL-13,0.8718642,0.011779582,0.8477347,0.89502156,762922.0
FL-14,0.87478286,0.011922442,0.85064673,0.89777404,826754.0
FL-15,0.87852,0.011769344,0.85459054,0.9008489,835432.0
FL-16,0.87498534,0.011748335,0.8514084,0.8976432,882634.0
FL-17,0.87163633,0.011943892,0.84719014,0.89515054,876680.0
FL-18,0.8819509,0.0117498,0.8583722,0.90437126,884254.0
FL-19,0.8700279,0.011995286,0.845544,0.8934161,827867.0
FL-20,0.88272804,0.012320093,0.857487,0.906173,818464.0
FL-21,0.87341136,0.01172741,0.8497664,0.89616793,858841.0
FL-22,0.873747,0.011910896,0.84976506,0.89658564,804325.0
FL-23,0.8713864,0.011984998,0.84723884,0.8943848,803072.0
FL-24,0.8823182,0.012452954,0.85745525,0.9058723,830140.0
FL-25,0.8787428,0.0127728395,0.85280013,0.9028801,807005.0
FL-26,0.88634104,0.014120436,0.8581412,0.9126006,851023.0
FL-27,0.880601,0.014876022,0.85113883,0.90844584,788663.0
FL-28,0.8873556,0.014344046,0.8588598,0.9142699,791639.0
GA-01,0.8776802,0.012063227,0.8534194,0.9006562,806527.0
GA-02,0.87982494,0.012652534,0.85428464,0.9037045,757237.0
GA-03,0.8763448,0.01214551,0.8521012,0.89932835,799779.0
GA-04,0.8778925,0.012937224,0.85121983,0.90222573,759723.0
GA-05,0.8703976,0.013236044,0.8440113,0.89548516,771919.0
GA-06,0.8708116,0.013411863,0.8438064,0.895866,803622.0
GA-07,0.8653742,0.013198712,0.83929396,0.8904902,815664.0
GA-08,0.8793556,0.01213421,0.8548617,0.9022852,787859.0
GA-09,0.8770161,0.0121125765,0.85296303,0.89984226,828867.0
GA-10,0.87738967,0.012057372,0.8532064,0.9001855,835723.0
GA-11,0.87205356,0.012323595,0.8476062,0.8952949,811649.0
GA-12,0.878918,0.012235697,0.8542357,0.9022375,786389.0
GA-13,0.8788158,0.013080036,0.852389,0.90330184,820455.0
GA-14,0.8789201,0.011986645,0.85482967,0.90155166,795540.0
HI-01,0.8275628,0.023054654,0.7795589,0.869659,788658.0
HI-02,0.82879704,0.02153521,0.78237045,0.86687076,834691.0
IA-01,0.8598513,0.014456399,0.8294737,0.8865305,804653.0
IA-02,0.8599041,0.014507679,0.8294462,0.8865742,797275.0
