state,estimate,sd,q025,q975,pop
AK,0.8274524,0.01966437,0.7874196,0.8638961,771777.0
AL,0.8788369,0.012701911,0.8547571,0.9051278,5157530.0
AR,0.8762124,0.01302808,0.8487228,0.8994726,3112123.0
AZ,0.8279554,0.017868217,0.79041964,0.860487,7635653.0
CA,0.8340886,0.015794255,0.8022422,0.86356884,39511040.0
CO,0.8205793,0.017906187,0.78530926,0.8554367,5959420.0
CT,0.85102075,0.016575951,0.8148232,0.8802372,3675282.0
DC,0.80711263,0.055257093,0.6629276,0.8837822,702518.0
DE,0.87239826,0.0136967255,0.84180295,0.8973044,1051959.0
FL,0.87699574,0.0117793195,0.85319835,0.8995461,23383670.0
GA,0.87574595,0.012279858,0.8510366,0.89903724,11180953.0
HI,0.82819694,0.022082968,0.78118,0.86789364,1623349.0
IA,0.86023885,0.014458492,0.82987696,0.8870292,3241275.0
ID,0.8232661,0.019601168,0.7813318,0.8580831,2001731.0
IL,0.85932046,0.01383532,0.8290439,0.88422143,12710363.0
IN,0.8670886,0.014370971,0.8403238,0.898241,6924042.0
KS,0.8616482,0.014247318,0.8324978,0.88913393,2970525.0
KY,0.8777426,0.012641799,0.8531954,0.90328187,4633683.0
LA,0.87961257,0.013141504,0.8545908,0.9066343,4597579.0
MA,0.84762794,0.016258596,0.8133538,0.8771951,7139334.0
MD,0.8694941,0.012858832,0.84174687,0.89317733,6263058.0
ME,0.8494753,0.017067935,0.8124235,0.8808322,1404894.0
MI,0.86259556,0.013805679,0.8351763,0.8897473,10140508.0
MN,0.8548087,0.015225454,0.82161146,0.8812523,5795179.0
MO,0.8600016,0.013761559,0.8310518,0.8858304,6250552.0
MS,0.8750424,0.013740153,0.8445996,0.898983,2942933.0
MT,0.8197149,0.019591821,0.77975255,0.8564615,1137721.0
NC,0.87588495,0.012277259,0.8514513,0.90043825,11046000.0
ND,0.8601751,0.015176038,0.82826936,0.88942057,796604.0
NE,0.8619614,0.014891632,0.8311509,0.89148897,2005729.0
NH,0.8484259,0.017451756,0.8115087,0.8804276,1409424.0
NJ,0.8534034,0.016232384,0.81911844,0.88267773,9500729.0
NM,0.836963,0.019060895,0.7976024,0.87281334,2165227.0
NV,0.8322639,0.019588275,0.7896625,0.8667963,3270459.0
NY,0.85535467,0.015309364,0.82389456,0.8841805,19871348.0
OH,0.8608189,0.013613712,0.83280724,0.886912,11926955.0
OK,0.87775534,0.012933082,0.8497669,0.90116936,4099977.0
OR,0.8182854,0.019259445,0.7745242,0.8513752,4274326.0
PA,0.856748,0.015379772,0.82628477,0.886795,13164381.0
RI,0.85332847,0.017000051,0.81541896,0.88348,1113473.0
SC,0.87393105,0.012819524,0.8472975,0.8979946,5478680.0
SD,0.8580322,0.016009144,0.8234186,0.88620925,924668.0
TN,0.8736178,0.012568961,0.8461214,0.8962348,7236086.0
TX,0.8810254,0.011848092,0.85633445,0.902732,31340704.0
UT,0.82414275,0.018869381,0.7842186,0.85804623,3504190.0
VA,0.8708195,0.012742467,0.8440392,0.8951637,8817822.0
VT,0.8445048,0.018505761,0.80534947,0.8783493,648585.0
WA,0.8233456,0.017825136,0.78626585,0.85680914,7965494.0
WI,0.85640115,0.014748639,0.82440305,0.8820305,5961250.0
WV,0.87503606,0.013862594,0.84658474,0.901759,1792514.0
WY,0.82470906,0.01955799,0.7843991,0.86101764,588050.0
