cd,estimate,sd,q025,q975,pop
AK-00,0.42874178,0.038574975,0.35081983,0.50672346,771777.0
AL-01,0.35866264,0.027896885,0.30079085,0.41026205,760354.0
AL-02,0.30140966,0.026067957,0.24706267,0.3513058,703340.0
AL-03,0.3502997,0.027737865,0.29262567,0.40185046,737627.0
AL-04,0.36550003,0.028703218,0.30570775,0.4189156,735273.0
AL-05,0.3609244,0.027642364,0.30313987,0.41244316,773839.0
AL-06,0.37234288,0.02803441,0.31357118,0.42441282,728180.0
AL-07,0.30031377,0.026030198,0.24604681,0.35004902,718917.0
AR-01,0.35981837,0.028965348,0.3004172,0.4172364,762586.0
AR-02,0.3640082,0.028278952,0.3058142,0.42028725,773170.0
AR-03,0.35029298,0.027708525,0.29420176,0.40554047,820072.0
AR-04,0.35113183,0.02851085,0.29251668,0.4080162,756295.0
AZ-01,0.47158027,0.032079738,0.40357512,0.5288058,819917.0
AZ-02,0.41933334,0.032108247,0.35190547,0.47855875,903804.0
AZ-03,0.32039776,0.03029432,0.25782216,0.37786886,835284.0
AZ-04,0.41985562,0.031469967,0.35305732,0.4768905,795543.0
AZ-05,0.42997274,0.0326567,0.36074933,0.48963395,902045.0
AZ-06,0.44385993,0.03178612,0.37637937,0.50146323,834008.0
AZ-07,0.35496172,0.031028999,0.29029235,0.41350037,813344.0
AZ-08,0.4315191,0.031941824,0.3633494,0.48959836,815907.0
AZ-09,0.4018868,0.031807914,0.3343038,0.4601156,915801.0
CA-01,0.41943416,0.021318937,0.37685558,0.46088046,759313.0
CA-02,0.46308488,0.020731455,0.42153057,0.50302464,753545.0
CA-03,0.46078837,0.021318426,0.41787225,0.50195575,807237.0
CA-04,0.4225012,0.020346815,0.38158765,0.4618101,763739.0
CA-05,0.4285253,0.020938247,0.38655075,0.46877444,772856.0
CA-06,0.39888483,0.020769402,0.3571349,0.4393989,761736.0
CA-07,0.37744454,0.020796537,0.33589372,0.418262,765977.0
CA-08,0.36117172,0.020454286,0.31989554,0.40174684,750632.0
CA-09,0.35517657,0.020825349,0.31342965,0.39635065,784684.0
CA-10,0.43271542,0.021279676,0.39056608,0.4742953,773752.0
CA-11,0.43488073,0.021766173,0.3919117,0.47728917,731933.0
CA-12,0.40950722,0.020425474,0.36838266,0.44878188,758276.0
CA-13,0.3363165,0.022010662,0.29350084,0.3794299,805411.0
CA-14,0.37856618,0.022951243,0.33335716,0.42360848,728910.0
CA-15,0.39600793,0.02229466,0.35213062,0.43950638,723610.0
CA-16,0.4372545,0.022166882,0.3932397,0.48027024,751903.0
CA-17,0.3866554,0.026568167,0.3350763,0.43778574,763050.0
CA-18,0.33780333,0.021244505,0.29631737,0.37955037,766446.0
CA-19,0.43566307,0.020696318,0.39438558,0.47545305,741670.0
CA-20,0.39454463,0.02102917,0.35232142,0.43518448,816301.0
CA-21,0.33614096,0.021901384,0.29338253,0.37951022,781030.0
CA-22,0.32528463,0.02247707,0.28156582,0.37000224,801190.0
CA-23,0.37432826,0.021066893,0.33251575,0.41477934,758159.0
CA-24,0.42637086,0.020387644,0.3850631,0.46538585,759754.0
CA-25,0.35567826,0.021894043,0.31311783,0.39828116,792547.0
CA-26,0.40975338,0.020581488,0.36837617,0.4494458,752072.0
CA-27,0.37122253,0.020782482,0.32989866,0.4116347,748947.0
CA-28,0.39594746,0.022182493,0.35219994,0.43938023,750473.0
CA-29,0.3454188,0.021080388,0.30399203,0.38671508,724188.0
CA-30,0.4514917,0.020590415,0.41017628,0.49032018,742465.0
CA-31,0.34132296,0.021393783,0.29901528,0.3838342,724902.0
CA-32,0.44496286,0.02040371,0.40380186,0.4837495,763383.0
CA-33,0.33540627,0.021527087,0.29345736,0.37797552,783085.0
CA-34,0.33217818,0.021118985,0.29102486,0.3736863,757957.0
CA-35,0.33295977,0.021334551,0.29103622,0.3752165,764991.0
CA-36,0.46909785,0.020814778,0.42749873,0.509008,755979.0
CA-37,0.3322393,0.020639013,0.29141247,0.37289372,745172.0
CA-38,0.34805563,0.0217586,0.3052506,0.39109963,723153.0
CA-39,0.3371842,0.021336878,0.29572666,0.3790949,781393.0
CA-40,0.4375217,0.020917049,0.39558455,0.4778859,744040.0
CA-41,0.40303153,0.020694554,0.36128452,0.44301227,824261.0
CA-42,0.3435943,0.021212302,0.30200997,0.38551158,722832.0
CA-43,0.3148379,0.021032209,0.27352464,0.3565499,719904.0
CA-44,0.33344507,0.020858701,0.2922561,0.37462422,745315.0
CA-45,0.3695806,0.022640705,0.32493606,0.41410923,741955.0
CA-46,0.33116886,0.021297056,0.28922135,0.37309465,763482.0
CA-47,0.44834664,0.021570556,0.40560395,0.49009812,756374.0
CA-48,0.4155307,0.020957628,0.3733446,0.45629367,768427.0
CA-49,0.46003824,0.020637142,0.41840228,0.49951088,748742.0
CA-50,0.4630976,0.020563995,0.42192614,0.5022688,760799.0
CA-51,0.42476484,0.020580769,0.38368285,0.46429288,766663.0
CA-52,0.3380567,0.021140153,0.29656276,0.37989655,756424.0
CO-01,0.44455743,0.029584149,0.38204974,0.5018303,737571.0
CO-02,0.50573367,0.030516084,0.4401064,0.5625043,728480.0
CO-03,0.45086423,0.0301697,0.38734615,0.5095166,742989.0
CO-04,0.468901,0.030752836,0.40350333,0.5272599,789556.0
CO-05,0.44616744,0.030290464,0.38207301,0.50411576,745429.0
CO-06,0.4318918,0.02955026,0.36934936,0.48858365,730105.0
CO-07,0.4839382,0.030376839,0.41890025,0.5408953,728169.0
CO-08,0.39986807,0.029761858,0.3386979,0.45705536,757121.0
CT-01,0.33404785,0.027762191,0.27791706,0.38678613,734982.0
CT-02,0.37531763,0.02953347,0.3143415,0.43062347,731322.0
CT-03,0.34364772,0.028016547,0.28686816,0.3962837,741632.0
CT-04,0.3548161,0.028543979,0.29674077,0.40921846,739349.0
CT-05,0.34732565,0.028245386,0.2900121,0.40042636,727997.0
DC-98,0.3746131,0.055204578,0.26689318,0.4842034,702518.0
DE-00,0.36263978,0.032230023,0.2975471,0.43021673,1051959.0
FL-01,0.38792005,0.022473572,0.34626594,0.435597,818627.0
FL-02,0.3747388,0.021921793,0.33406082,0.42079288,819069.0
FL-03,0.3835624,0.022105288,0.34256297,0.43079147,845704.0
FL-04,0.34448162,0.021759087,0.30435058,0.3902217,842174.0
FL-05,0.40728003,0.022554621,0.36521682,0.45533592,852368.0
FL-06,0.39591664,0.022451427,0.35458598,0.44356042,834655.0
FL-07,0.38595918,0.02229884,0.3446904,0.4336372,813166.0
FL-08,0.41151807,0.022425942,0.3695533,0.45915526,831277.0
FL-09,0.33328417,0.022818971,0.29157364,0.38075456,909835.0
FL-10,0.33359846,0.021312522,0.29422703,0.3782824,802579.0
FL-11,0.39068213,0.021998014,0.34961286,0.43764946,893476.0
FL-12,0.39795992,0.022940865,0.35540065,0.44670963,871025.0
FL-13,0.41841912,0.022479774,0.37623766,0.4663908,762922.0
FL-14,0.36803553,0.021728383,0.32826197,0.41378185,826754.0
FL-15,0.35937944,0.021849597,0.319121,0.405708,835432.0
FL-16,0.38646504,0.021994447,0.3455458,0.43360782,882634.0
FL-17,0.42315474,0.022488408,0.381506,0.47092494,876680.0
FL-18,0.3560557,0.022153817,0.31546283,0.40291125,884254.0
FL-19,0.42443535,0.022151122,0.38321427,0.47124383,827867.0
FL-20,0.29420343,0.021292398,0.25546306,0.33871925,818464.0
FL-21,0.3968666,0.021989394,0.35593364,0.44341335,858841.0
FL-22,0.3813363,0.021560317,0.3415659,0.42682716,804325.0
FL-23,0.39219567,0.02187663,0.3517877,0.43827057,803072.0
FL-24,0.30528513,0.021675196,0.26566133,0.35025764,830140.0
FL-25,0.34831363,0.022793304,0.3063557,0.3959701,807005.0
FL-26,0.32778808,0.0242145,0.28396574,0.37872535,851023.0
FL-27,0.3470969,0.02521133,0.3012093,0.39852256,788663.0
FL-28,0.31771654,0.02454837,0.2733211,0.36886528,791639.0
GA-01,0.34688354,0.024178676,0.30135527,0.39634022,806527.0
GA-02,0.30973434,0.023576925,0.26592425,0.35902923,757237.0
GA-03,0.35732943,0.024590285,0.3108985,0.40800923,799779.0
GA-04,0.2942589,0.023179702,0.25102317,0.34131938,759723.0
GA-05,0.3275786,0.023871904,0.2826247,0.37615472,771919.0
GA-06,0.32257998,0.024144635,0.27693495,0.37186092,803622.0
GA-07,0.39678487,0.025987366,0.3472317,0.44914806,815664.0
