state,estimate,sd,q025,q975,pop
AK,0.42874178,0.038574964,0.35081998,0.5067235,771777.0
AL,0.34477088,0.02725192,0.28815812,0.39570695,5157530.0
AR,0.3562389,0.02827839,0.2982398,0.41225088,3112123.0
AZ,0.4104642,0.031432204,0.34397638,0.46777326,7635653.0
CA,0.3887757,0.02048212,0.34715828,0.42903697,39511040.0
CO,0.4538316,0.030017937,0.39033428,0.51137775,5959420.0
CT,0.35100475,0.028378362,0.2932042,0.40449226,3675282.0
DC,0.37461317,0.055204585,0.26689315,0.4842035,702518.0
DE,0.36263978,0.03223003,0.29754713,0.43021676,1051959.0
FL,0.3713394,0.021903379,0.3310617,0.41803405,23383670.0
GA,0.34107125,0.024008408,0.2957238,0.39079726,11180953.0
HI,0.37151054,0.038528938,0.2914679,0.44443578,1623349.0
IA,0.44276664,0.034156058,0.38401884,0.51816183,3241275.0
ID,0.4715554,0.03655547,0.40156302,0.5506559,2001731.0
IL,0.3885306,0.023575911,0.34224486,0.4358346,12710363.0
IN,0.37212744,0.02890538,0.31247145,0.4246202,6924042.0
KS,0.38773504,0.032071646,0.31948546,0.444877,2970525.0
KY,0.38915026,0.029092116,0.3356899,0.45121568,4633683.0
LA,0.32424277,0.029407592,0.2634894,0.38017833,4597579.0
MA,0.38317,0.028408915,0.32922772,0.44003054,7139334.0
MD,0.36284462,0.025964543,0.31673476,0.41894153,6263058.0
ME,0.4082881,0.036651995,0.34049347,0.487518,1404894.0
MI,0.41243556,0.024787508,0.36623454,0.46387395,10140508.0
MN,0.4189553,0.028614147,0.36223724,0.47532916,5795179.0
MO,0.40527275,0.02576424,0.3531293,0.45576578,6250552.0
MS,0.33102918,0.029295847,0.2705785,0.3892972,2942933.0
MT,0.4861988,0.038269628,0.40870303,0.5629856,1137721.0
NC,0.35164115,0.025034629,0.30000424,0.39815068,11046000.0
ND,0.44007817,0.036224432,0.37584767,0.52097386,796604.0
NE,0.39668193,0.03545153,0.31828675,0.46057877,2005729.0
NH,0.38787115,0.03630373,0.3105,0.45773062,1409424.0
NJ,0.35073426,0.027725842,0.2995254,0.40869308,9500729.0
NM,0.3981955,0.03400101,0.3277835,0.46459982,2165227.0
NV,0.38111255,0.035167832,0.3052169,0.44727442,3270459.0
NY,0.35490447,0.024896896,0.30928305,0.40670952,19871348.0
OH,0.40332174,0.02529455,0.35378867,0.45492935,11926955.0
OK,0.3646427,0.029679826,0.30837166,0.426793,4099977.0
OR,0.4862308,0.03212117,0.42823112,0.55460024,4274326.0
PA,0.34279212,0.025103288,0.2931374,0.3898778,13164381.0
RI,0.36315158,0.03510544,0.29323384,0.4359699,1113473.0
SC,0.3815714,0.029009432,0.33020478,0.44490325,5478680.0
SD,0.41026595,0.035547957,0.33302784,0.47674215,924668.0
TN,0.3963315,0.02893123,0.34544253,0.45761666,7236086.0
TX,0.302506,0.020422779,0.26141346,0.3411417,31340704.0
UT,0.49294654,0.039159022,0.42651406,0.5802335,3504190.0
VA,0.37370858,0.02571682,0.32427877,0.42793688,8817822.0
VT,0.41885367,0.038811587,0.34565467,0.5055037,648585.0
WA,0.46807382,0.030538848,0.41262543,0.5326771,7965494.0
WI,0.43433145,0.027910063,0.38216016,0.4930402,5961250.0
WV,0.38581055,0.034709446,0.31650344,0.45430234,1792514.0
WY,0.46156263,0.039902188,0.37591457,0.53749377,588050.0
